Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-19,0.01583,0.01643,0.01667,0.01461,0.01249
2016-09-20,0.01643,0.01667,0.01461,0.01249,0.01218
2016-09-21,0.01667,0.01461,0.01249,0.01218,0.01205
2016-09-22,0.01461,0.01249,0.01218,0.01205,0.01245
2016-09-23,0.01249,0.01218,0.01205,0.01245,0.01283
2016-09-24,0.01218,0.01205,0.01245,0.01283,0.01299
2016-09-25,0.01205,0.01245,0.01283,0.01299,0.01282
2016-09-26,0.01245,0.01283,0.01299,0.01282,0.01408
2016-09-27,0.01283,0.01299,0.01282,0.01408,0.01325
2016-09-28,0.01299,0.01282,0.01408,0.01325,0.01236
2016-09-29,0.01282,0.01408,0.01325,0.01236,0.01282
2016-09-30,0.01408,0.01325,0.01236,0.01282,0.0132
2016-10-01,0.01325,0.01236,0.01282,0.0132,0.0137
2016-10-02,0.01236,0.01282,0.0132,0.0137,0.01338
2016-10-03,0.01282,0.0132,0.0137,0.01338,0.01259
2016-10-04,0.0132,0.0137,0.01338,0.01259,0.01203
2016-10-05,0.0137,0.01338,0.01259,0.01203,0.01401
2016-10-06,0.01338,0.01259,0.01203,0.01401,0.01493
2016-10-07,0.01259,0.01203,0.01401,0.01493,0.01455
2016-10-08,0.01203,0.01401,0.01493,0.01455,0.01238
2016-10-09,0.01401,0.01493,0.01455,0.01238,0.01218
2016-10-10,0.01493,0.01455,0.01238,0.01218,0.01251
2016-10-11,0.01455,0.01238,0.01218,0.01251,0.01369
2016-10-12,0.01238,0.01218,0.01251,0.01369,0.01231
2016-10-13,0.01218,0.01251,0.01369,0.01231,0.01204
2016-10-14,0.01251,0.01369,0.01231,0.01204,0.01142
2016-10-15,0.01369,0.01231,0.01204,0.01142,0.01064
2016-10-16,0.01231,0.01204,0.01142,0.01064,0.01106
2016-10-17,0.01204,0.01142,0.01064,0.01106,0.01285
2016-10-18,0.01142,0.01064,0.01106,0.01285,0.01572
2016-10-19,0.01064,0.01106,0.01285,0.01572,0.01479
2016-10-20,0.01106,0.01285,0.01572,0.01479,0.01233
2016-10-21,0.01285,0.01572,0.01479,0.01233,0.01262
2016-10-22,0.01572,0.01479,0.01233,0.01262,0.01192
2016-10-23,0.01479,0.01233,0.01262,0.01192,0.01129
2016-10-24,0.01233,0.01262,0.01192,0.01129,0.01027
2016-10-25,0.01262,0.01192,0.01129,0.01027,0.01026
2016-10-26,0.01192,0.01129,0.01027,0.01026,0.00996
2016-10-27,0.01129,0.01027,0.01026,0.00996,0.00992
2016-10-28,0.01027,0.01026,0.00996,0.00992,0.00911
2016-10-29,0.01026,0.00996,0.00992,0.00911,0.01105
2016-10-30,0.00996,0.00992,0.00911,0.01105,0.01136
2016-10-31,0.00992,0.00911,0.01105,0.01136,0.00978
2016-11-01,0.00911,0.01105,0.01136,0.00978,0.00973
2016-11-02,0.01105,0.01136,0.00978,0.00973,0.01364
2016-11-03,0.01136,0.00978,0.00973,0.01364,0.0178
2016-11-04,0.00978,0.00973,0.01364,0.0178,0.01608
2016-11-05,0.00973,0.01364,0.0178,0.01608,0.01454
2016-11-06,0.01364,0.0178,0.01608,0.01454,0.01817
