Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-12-10,242.84375,300.0,168.33333,315.0,296.02
2016-12-11,300.0,168.33333,315.0,296.02,298.80577
2016-12-12,168.33333,315.0,296.02,298.80577,303.36923
2016-12-16,315.0,296.02,298.80577,303.36923,244.96909
2016-12-18,296.02,298.80577,303.36923,244.96909,267.04649
2016-12-19,298.80577,303.36923,244.96909,267.04649,260.79914
2016-12-20,303.36923,244.96909,267.04649,260.79914,259.60545
2016-12-21,244.96909,267.04649,260.79914,259.60545,251.17407
2016-12-22,267.04649,260.79914,259.60545,251.17407,248.61091
2016-12-23,260.79914,259.60545,251.17407,248.61091,246.88182
2016-12-24,259.60545,251.17407,248.61091,246.88182,241.76182
2016-12-25,251.17407,248.61091,246.88182,241.76182,233.01273
2016-12-26,248.61091,246.88182,241.76182,233.01273,227.25088
2016-12-27,246.88182,241.76182,233.01273,227.25088,225.40167
2016-12-28,241.76182,233.01273,227.25088,225.40167,226.02857
2016-12-29,233.01273,227.25088,225.40167,226.02857,219.75536
2016-12-30,227.25088,225.40167,226.02857,219.75536,218.01071
2016-12-31,225.40167,226.02857,219.75536,218.01071,214.75455
2017-01-01,226.02857,219.75536,218.01071,214.75455,208.07273
2017-01-02,219.75536,218.01071,214.75455,208.07273,195.88364
2017-01-03,218.01071,214.75455,208.07273,195.88364,190.6625
2017-01-04,214.75455,208.07273,195.88364,190.6625,180.44545
2017-01-05,208.07273,195.88364,190.6625,180.44545,175.59818
2017-01-06,195.88364,190.6625,180.44545,175.59818,184.50182
2017-01-07,190.6625,180.44545,175.59818,184.50182,182.70179
2017-01-08,180.44545,175.59818,184.50182,182.70179,179.27857
2017-01-09,175.59818,184.50182,182.70179,179.27857,179.00909
2017-01-10,184.50182,182.70179,179.27857,179.00909,182.08148
2017-01-11,182.70179,179.27857,179.00909,182.08148,187.93091
2017-01-12,179.27857,179.00909,182.08148,187.93091,190.3125
2017-01-13,179.00909,182.08148,187.93091,190.3125,190.80877
2017-01-14,182.08148,187.93091,190.3125,190.80877,190.18545
2017-01-15,187.93091,190.3125,190.80877,190.18545,192.55818
2017-01-16,190.3125,190.80877,190.18545,192.55818,193.50741
2017-01-17,190.80877,190.18545,192.55818,193.50741,191.53396
2017-01-18,190.18545,192.55818,193.50741,191.53396,189.37222
2017-01-19,192.55818,193.50741,191.53396,189.37222,190.45273
2017-01-20,193.50741,191.53396,189.37222,190.45273,191.95091
2017-01-21,191.53396,189.37222,190.45273,191.95091,193.5463
2017-01-22,189.37222,190.45273,191.95091,193.5463,197.69474
2017-01-23,190.45273,191.95091,193.5463,197.69474,223.70357
2017-01-24,191.95091,193.5463,197.69474,223.70357,223.29286
2017-01-25,193.5463,197.69474,223.70357,223.29286,228.35357
2017-01-26,197.69474,223.70357,223.29286,228.35357,234.08246
2017-01-27,223.70357,223.29286,228.35357,234.08246,258.41071
2017-01-28,223.29286,228.35357,234.08246,258.41071,291.55893
2017-01-29,228.35357,234.08246,258.41071,291.55893,307.36071
2017-01-30,234.08246,258.41071,291.55893,307.36071,322.16429
2017-01-31,258.41071,291.55893,307.36071,322.16429,336.14909
2017-02-01,291.55893,307.36071,322.16429,336.14909,331.81579
2017-02-02,307.36071,322.16429,336.14909,331.81579,355.58596
2017-02-03,322.16429,336.14909,331.81579,355.58596,372.5
2017-02-04,336.14909,331.81579,355.58596,372.5,374.90175
2017-02-05,331.81579,355.58596,372.5,374.90175,387.26379
2017-02-06,355.58596,372.5,374.90175,387.26379,383.62632
2017-02-07,372.5,374.90175,387.26379,383.62632,380.08596
2017-02-08,374.90175,387.26379,383.62632,380.08596,383.94561
2017-02-09,387.26379,383.62632,380.08596,383.94561,387.72414
2017-02-10,383.62632,380.08596,383.94561,387.72414,387.2
2017-02-11,380.08596,383.94561,387.72414,387.2,388.62456
2017-02-12,383.94561,387.72414,387.2,388.62456,391.0
2017-02-13,387.72414,387.2,388.62456,391.0,382.31754
2017-02-14,387.2,388.62456,391.0,382.31754,379.0614
2017-02-15,388.62456,391.0,382.31754,379.0614,372.23333
2017-02-16,391.0,382.31754,379.0614,372.23333,366.35254
2017-02-17,382.31754,379.0614,372.23333,366.35254,358.03898
2017-02-18,379.0614,372.23333,366.35254,358.03898,361.87931
2017-02-19,372.23333,366.35254,358.03898,361.87931,394.17869
2017-02-20,366.35254,358.03898,361.87931,394.17869,419.93793
2017-02-21,358.03898,361.87931,394.17869,419.93793,428.98305
2017-02-22,361.87931,394.17869,419.93793,428.98305,443.90517
2017-02-23,394.17869,419.93793,428.98305,443.90517,481.33333
2017-02-24,419.93793,428.98305,443.90517,481.33333,183.25641
2017-02-25,428.98305,443.90517,481.33333,183.25641,182.06949
2017-02-26,443.90517,481.33333,183.25641,182.06949,188.90847
2017-02-27,481.33333,183.25641,182.06949,188.90847,187.21228
2017-02-28,183.25641,182.06949,188.90847,187.21228,195.71034
2017-03-08,182.06949,188.90847,187.21228,195.71034,201.82105
2017-03-09,188.90847,187.21228,195.71034,201.82105,202.68421
2017-03-10,187.21228,195.71034,201.82105,202.68421,208.13621
2017-03-11,195.71034,201.82105,202.68421,208.13621,204.8386
2017-03-12,201.82105,202.68421,208.13621,204.8386,196.36885
2017-03-13,202.68421,208.13621,204.8386,196.36885,199.95179
2017-03-14,208.13621,204.8386,196.36885,199.95179,203.52203
2017-03-15,204.8386,196.36885,199.95179,203.52203,214.63051
2017-03-16,196.36885,199.95179,203.52203,214.63051,218.41186
2017-03-17,199.95179,203.52203,214.63051,218.41186,239.67742
2017-03-18,203.52203,214.63051,218.41186,239.67742,252.74167
2017-03-19,214.63051,218.41186,239.67742,252.74167,268.42759
2017-03-20,218.41186,239.67742,252.74167,268.42759,272.51864
2017-03-21,239.67742,252.74167,268.42759,272.51864,277.16034
2017-03-22,252.74167,268.42759,272.51864,277.16034,275.23276
2017-03-23,268.42759,272.51864,277.16034,275.23276,276.52759
2017-03-24,272.51864,277.16034,275.23276,276.52759,297.59138
2017-03-25,277.16034,275.23276,276.52759,297.59138,320.1569
2017-03-26,275.23276,276.52759,297.59138,320.1569,320.16379
2017-03-27,276.52759,297.59138,320.1569,320.16379,318.23448
2017-03-28,297.59138,320.1569,320.16379,318.23448,314.71379
2017-03-29,320.1569,320.16379,318.23448,314.71379,340.24407
2017-03-30,320.16379,318.23448,314.71379,340.24407,335.25862
2017-03-31,318.23448,314.71379,340.24407,335.25862,298.78103
2017-04-01,314.71379,340.24407,335.25862,298.78103,298.00862
2017-04-02,340.24407,335.25862,298.78103,298.00862,302.2541
2017-04-03,335.25862,298.78103,298.00862,302.2541,305.25172
2017-04-04,298.78103,298.00862,302.2541,305.25172,300.07586
2017-04-05,298.00862,302.2541,305.25172,300.07586,293.82586
2017-04-06,302.2541,305.25172,300.07586,293.82586,270.42931
2017-04-07,305.25172,300.07586,293.82586,270.42931,247.75517
2017-04-08,300.07586,293.82586,270.42931,247.75517,230.97705
2017-04-09,293.82586,270.42931,247.75517,230.97705,229.70862
2017-04-10,270.42931,247.75517,230.97705,229.70862,239.27241
2017-04-11,247.75517,230.97705,229.70862,239.27241,248.41552
2017-04-12,230.97705,229.70862,239.27241,248.41552,240.31724
2017-04-13,229.70862,239.27241,248.41552,240.31724,235.51186
2017-04-14,239.27241,248.41552,240.31724,235.51186,237.41186
2017-04-15,248.41552,240.31724,235.51186,237.41186,236.48305
2017-04-16,240.31724,235.51186,237.41186,236.48305,232.67931
2017-04-17,235.51186,237.41186,236.48305,232.67931,228.55
2017-04-18,237.41186,236.48305,232.67931,228.55,231.63276
2017-04-19,236.48305,232.67931,228.55,231.63276,237.32542
2017-04-20,232.67931,228.55,231.63276,237.32542,228.71186
2017-04-21,228.55,231.63276,237.32542,228.71186,221.35172
2017-04-22,231.63276,237.32542,228.71186,221.35172,214.70333
2017-04-23,237.32542,228.71186,221.35172,214.70333,214.65254
2017-04-24,228.71186,221.35172,214.70333,214.65254,227.74483
2017-04-25,221.35172,214.70333,214.65254,227.74483,218.82344
2017-04-26,214.70333,214.65254,227.74483,218.82344,206.86102
2017-04-27,214.65254,227.74483,218.82344,206.86102,200.36724
2017-04-28,227.74483,218.82344,206.86102,200.36724,200.6
2017-04-29,218.82344,206.86102,200.36724,200.6,203.27069
2017-04-30,206.86102,200.36724,200.6,203.27069,202.60508
2017-05-01,200.36724,200.6,203.27069,202.60508,200.42295
2017-05-02,200.6,203.27069,202.60508,200.42295,199.87241
2017-05-03,203.27069,202.60508,200.42295,199.87241,204.18475
2017-05-04,202.60508,200.42295,199.87241,204.18475,212.44655
2017-05-05,200.42295,199.87241,204.18475,212.44655,218.82881
2017-05-06,199.87241,204.18475,212.44655,218.82881,222.60862
2017-05-07,204.18475,212.44655,218.82881,222.60862,233.79153
2017-05-08,212.44655,218.82881,222.60862,233.79153,231.61186
2017-05-09,218.82881,222.60862,233.79153,231.61186,250.83621
2017-05-10,222.60862,233.79153,231.61186,250.83621,276.21356
2017-05-11,233.79153,231.61186,250.83621,276.21356,269.78475
2017-05-12,231.61186,250.83621,276.21356,269.78475,267.26949
2017-05-13,250.83621,276.21356,269.78475,267.26949,256.97069
2017-05-14,276.21356,269.78475,267.26949,256.97069,254.07167
