Date,LeagueDay,day_of_week,month,y_lag_1,y_lag_2,y_lag_3,y_lag_4,rolling_mean,rolling_min,rolling_max,general_rolling_mean,general_rolling_min,general_rolling_max,expanding_mean,expanding_max,expanding_min
2016-12-05,1.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-06,2.0,1,12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
2016-12-08,3.0,3,12,100.0,100.0,0.0,0.0,116.640054,100.0,137.80741,0.0,0.0,0.0,108.16666666666667,124.5,100.0
2016-12-09,4.0,4,12,124.5,100.0,100.0,0.0,124.11387199999999,100.0,137.80741,0.0,0.0,0.0,111.348215,124.5,100.0
2016-12-10,5.0,5,12,120.89286,124.5,100.0,100.0,136.421508,120.89286,161.53818,0.0,0.0,0.0,116.640054,137.80741,100.0
2016-12-11,6.0,6,12,137.80741,120.89286,124.5,100.0,144.034584,120.89286,162.56538,0.0,0.0,0.0,120.09489333333333,137.80741,100.0
2016-12-12,7.0,0,12,137.36909,137.80741,120.89286,124.5,154.58494000000002,137.36909,173.64464,0.0,0.0,0.0,126.01536285714285,161.53818,100.0
2016-12-13,8.0,1,12,161.53818,137.36909,137.80741,120.89286,162.96626600000002,137.36909,179.71404,154.734918,100.0,199.19123,130.584115,162.56538,100.0
2016-12-14,9.0,2,12,162.56538,161.53818,137.36909,137.80741,169.075448,161.53818,179.71404,159.43382733333334,100.0,199.19123,135.36861777777779,173.64464,100.0
2016-12-15,10.0,3,12,173.64464,162.56538,161.53818,137.36909,171.32352600000002,162.56538,179.71404,162.81419066666666,120.89286,199.19123,139.80316,179.71404,100.0
2016-12-16,11.0,4,12,179.71404,173.64464,162.56538,161.53818,176.952996,167.915,190.71273,164.764736,120.89286,199.19123,142.35878181818182,179.71404,100.0
2016-12-17,12.0,5,12,167.915,179.71404,173.64464,162.56538,182.062314,167.915,199.19123,167.17544600000002,137.36909,199.19123,144.89376416666667,179.71404,100.0
2016-12-18,13.0,6,12,172.77857,167.915,179.71404,173.64464,184.598434,167.915,199.19123,168.50586133333337,137.36909,199.19123,148.4183,190.71273,100.0
2016-12-19,14.0,0,12,190.71273,172.77857,167.915,179.71404,185.112162,170.48364,199.19123,171.03557600000002,150.70545,199.19123,152.04493785714286,199.19123,100.0
2016-12-20,15.0,1,12,199.19123,190.71273,172.77857,167.915,180.69753799999998,150.70545,199.19123,172.06896999999998,150.70545,199.19123,154.734918,199.19123,100.0
2016-12-21,16.0,2,12,192.39464,199.19123,190.71273,172.77857,173.306628,150.70545,199.19123,173.20964133333334,150.70545,199.19123,155.719213125,199.19123,100.0
2016-12-22,17.0,3,12,170.48364,192.39464,199.19123,190.71273,164.879084,150.70545,192.39464,173.364726,150.70545,199.19123,155.42428588235293,199.19123,100.0
2016-12-23,18.0,4,12,150.70545,170.48364,192.39464,199.19123,157.95288399999998,150.70545,170.48364,172.83288066666665,150.70545,199.19123,155.33172444444443,199.19123,100.0
2016-12-24,19.0,5,12,153.75818,150.70545,170.48364,192.39464,158.919118,150.70545,175.31481,172.6639493333333,150.70545,199.19123,155.42234473684212,199.19123,100.0
2016-12-25,20.0,6,12,157.05351,153.75818,150.70545,170.48364,164.185846,153.75818,177.03909,171.708768,150.70545,199.19123,155.5394095,199.19123,100.0
2016-12-26,21.0,0,12,157.76364,157.05351,153.75818,150.70545,169.3693,157.05351,179.67545,169.31970533333333,150.70545,199.19123,156.48109523809524,199.19123,100.0
2016-12-27,22.0,1,12,175.31481,157.76364,157.05351,153.75818,173.15277999999998,157.76364,179.67545,166.35779000000002,150.70545,192.39464,157.41554954545452,199.19123,100.0
2016-12-28,23.0,2,12,177.03909,175.31481,157.76364,157.05351,175.947324,171.73636,179.67545,163.73648066666664,150.70545,179.67545,158.38337130434783,199.19123,100.0
2016-12-29,24.0,3,12,179.67545,177.03909,175.31481,157.76364,173.960568,165.38103,179.67545,162.57951066666664,150.70545,179.67545,159.11618541666667,199.19123,100.0
2016-12-30,25.0,4,12,175.97091,179.67545,177.03909,175.31481,170.24292,158.45085,179.67545,162.74205666666666,153.075,179.67545,159.6209924,199.19123,100.0
2016-12-31,26.0,5,12,171.73636,175.97091,179.67545,177.03909,165.28318800000002,154.87679,175.97091,162.74436000000003,153.075,179.67545,159.84253230769232,199.19123,100.0
2017-01-01,27.0,6,1,165.38103,171.73636,175.97091,179.67545,161.041506,154.7625,171.73636,162.44030800000002,152.49273,179.67545,159.7909885185185,199.19123,100.0
2017-01-02,28.0,0,1,158.45085,165.38103,171.73636,175.97091,157.309234,153.075,165.38103,161.8535653333333,148.9625,179.67545,159.61548142857143,199.19123,100.0
2017-01-03,29.0,1,1,154.87679,158.45085,165.38103,171.73636,154.858846,153.075,158.45085,160.02427466666668,147.87545,179.67545,159.4481372413793,199.19123,100.0
2017-01-04,30.0,2,1,154.7625,154.87679,158.45085,165.38103,153.79740399999997,153.075,154.87679,157.99512333333334,146.60182,179.67545,159.23569933333334,199.19123,100.0
2017-01-05,31.0,3,1,153.075,154.7625,154.87679,158.45085,153.580592,153.075,154.7625,155.82997400000002,146.60182,175.97091,159.03871193548386,199.19123,100.0
2017-01-06,32.0,4,1,153.12909,153.075,154.7625,154.87679,153.126638,152.49273,153.79273,154.01441333333332,146.60182,171.73636,158.8544909375,199.19123,100.0
2017-01-07,33.0,5,1,153.14364,153.12909,153.075,154.7625,152.304138,148.9625,153.79273,152.363868,146.60182,165.38103,158.70110424242424,199.19123,100.0
2017-01-08,34.0,6,1,153.79273,153.14364,153.12909,153.075,151.25341,147.87545,153.79273,151.14809533333334,146.60182,158.45085,158.518505,199.19123,100.0
