Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-12-05,100.0,124.5,120.89286,137.80741,137.36909
2016-12-06,124.5,120.89286,137.80741,137.36909,161.53818
2016-12-08,120.89286,137.80741,137.36909,161.53818,162.56538
2016-12-09,137.80741,137.36909,161.53818,162.56538,173.64464
2016-12-10,137.36909,161.53818,162.56538,173.64464,179.71404
2016-12-11,161.53818,162.56538,173.64464,179.71404,167.915
2016-12-12,162.56538,173.64464,179.71404,167.915,172.77857
2016-12-13,173.64464,179.71404,167.915,172.77857,190.71273
2016-12-14,179.71404,167.915,172.77857,190.71273,199.19123
2016-12-15,167.915,172.77857,190.71273,199.19123,192.39464
2016-12-16,172.77857,190.71273,199.19123,192.39464,170.48364
2016-12-17,190.71273,199.19123,192.39464,170.48364,150.70545
2016-12-18,199.19123,192.39464,170.48364,150.70545,153.75818
2016-12-19,192.39464,170.48364,150.70545,153.75818,157.05351
2016-12-20,170.48364,150.70545,153.75818,157.05351,157.76364
2016-12-21,150.70545,153.75818,157.05351,157.76364,175.31481
2016-12-22,153.75818,157.05351,157.76364,175.31481,177.03909
2016-12-23,157.05351,157.76364,175.31481,177.03909,179.67545
2016-12-24,157.76364,175.31481,177.03909,179.67545,175.97091
2016-12-25,175.31481,177.03909,179.67545,175.97091,171.73636
2016-12-26,177.03909,179.67545,175.97091,171.73636,165.38103
2016-12-27,179.67545,175.97091,171.73636,165.38103,158.45085
2016-12-28,175.97091,171.73636,165.38103,158.45085,154.87679
2016-12-29,171.73636,165.38103,158.45085,154.87679,154.7625
2016-12-30,165.38103,158.45085,154.87679,154.7625,153.075
2016-12-31,158.45085,154.87679,154.7625,153.075,153.12909
2017-01-01,154.87679,154.7625,153.075,153.12909,153.14364
2017-01-02,154.7625,153.075,153.12909,153.14364,153.79273
2017-01-03,153.075,153.12909,153.14364,153.79273,152.49273
2017-01-04,153.12909,153.14364,153.79273,152.49273,148.9625
2017-01-05,153.14364,153.79273,152.49273,148.9625,147.87545
2017-01-06,153.79273,152.49273,148.9625,147.87545,146.60182
2017-01-07,152.49273,148.9625,147.87545,146.60182,147.19821
2017-01-08,148.9625,147.87545,146.60182,147.19821,148.7375
2017-01-09,147.87545,146.60182,147.19821,148.7375,146.97818
2017-01-10,146.60182,147.19821,148.7375,146.97818,147.14444
2017-01-11,147.19821,148.7375,146.97818,147.14444,146.88727
2017-01-12,148.7375,146.97818,147.14444,146.88727,150.80536
2017-01-13,146.97818,147.14444,146.88727,150.80536,151.11228
2017-01-14,147.14444,146.88727,150.80536,151.11228,149.34545
2017-01-15,146.88727,150.80536,151.11228,149.34545,149.82727
2017-01-16,150.80536,151.11228,149.34545,149.82727,149.4537
2017-01-17,151.11228,149.34545,149.82727,149.4537,146.57547
2017-01-18,149.34545,149.82727,149.4537,146.57547,143.84444
2017-01-19,149.82727,149.4537,146.57547,143.84444,141.64364
2017-01-20,149.4537,146.57547,143.84444,141.64364,140.03704
2017-01-21,146.57547,143.84444,141.64364,140.03704,144.02182
2017-01-22,143.84444,141.64364,140.03704,144.02182,154.97018
2017-01-23,141.64364,140.03704,144.02182,154.97018,160.2125
2017-01-24,140.03704,144.02182,154.97018,160.2125,162.57679
2017-01-25,144.02182,154.97018,160.2125,162.57679,167.32679
2017-01-26,154.97018,160.2125,162.57679,167.32679,169.74561
2017-01-27,160.2125,162.57679,167.32679,169.74561,185.39821
2017-01-28,162.57679,167.32679,169.74561,185.39821,193.17679
2017-01-29,167.32679,169.74561,185.39821,193.17679,212.06071
2017-01-30,169.74561,185.39821,193.17679,212.06071,225.70536
2017-01-31,185.39821,193.17679,212.06071,225.70536,226.82909
2017-02-01,193.17679,212.06071,225.70536,226.82909,241.70877
2017-02-02,212.06071,225.70536,226.82909,241.70877,247.42679
2017-02-03,225.70536,226.82909,241.70877,247.42679,256.69483
2017-02-04,226.82909,241.70877,247.42679,256.69483,265.74912
2017-02-05,241.70877,247.42679,256.69483,265.74912,267.97931
2017-02-06,247.42679,256.69483,265.74912,267.97931,273.31552
2017-02-07,256.69483,265.74912,267.97931,273.31552,278.07193
2017-02-08,265.74912,267.97931,273.31552,278.07193,284.38947
2017-02-09,267.97931,273.31552,278.07193,284.38947,284.06034
2017-02-10,273.31552,278.07193,284.38947,284.06034,296.54561
2017-02-11,278.07193,284.38947,284.06034,296.54561,300.43684
2017-02-12,284.38947,284.06034,296.54561,300.43684,299.30175
2017-02-13,284.06034,296.54561,300.43684,299.30175,296.95263
2017-02-14,296.54561,300.43684,299.30175,296.95263,291.93333
2017-02-15,300.43684,299.30175,296.95263,291.93333,286.99737
2017-02-16,299.30175,296.95263,291.93333,286.99737,290.16379
2017-02-17,296.95263,291.93333,286.99737,290.16379,285.11356
2017-02-18,291.93333,286.99737,290.16379,285.11356,285.16949
2017-02-19,286.99737,290.16379,285.11356,285.16949,287.875
2017-02-20,290.16379,285.11356,285.16949,287.875,294.5
2017-02-21,285.11356,285.16949,287.875,294.5,303.61186
2017-02-22,285.16949,287.875,294.5,303.61186,325.00517
2017-02-23,287.875,294.5,303.61186,325.00517,337.66667
2017-02-24,294.5,303.61186,325.00517,337.66667,55.0
2017-02-25,303.61186,325.00517,337.66667,55.0,61.89091
2017-02-26,325.00517,337.66667,55.0,61.89091,121.80175
2017-02-27,337.66667,55.0,61.89091,121.80175,118.3193
2017-02-28,55.0,61.89091,121.80175,118.3193,107.34915
2017-03-05,61.89091,121.80175,118.3193,107.34915,115.45603
2017-03-06,121.80175,118.3193,107.34915,115.45603,120.10702
2017-03-07,118.3193,107.34915,115.45603,120.10702,127.62586
2017-03-08,107.34915,115.45603,120.10702,127.62586,135.47544
2017-03-09,115.45603,120.10702,127.62586,135.47544,145.80702
2017-03-10,120.10702,127.62586,135.47544,145.80702,149.35259
2017-03-11,127.62586,135.47544,145.80702,149.35259,148.84035
2017-03-12,135.47544,145.80702,149.35259,148.84035,149.32833
2017-03-13,145.80702,149.35259,148.84035,149.32833,151.59474
2017-03-14,149.35259,148.84035,149.32833,151.59474,149.63051
2017-03-15,148.84035,149.32833,151.59474,149.63051,148.99655
2017-03-16,149.32833,151.59474,149.63051,148.99655,149.75085
2017-03-17,151.59474,149.63051,148.99655,149.75085,159.79828
2017-03-18,149.63051,148.99655,149.75085,159.79828,161.6975
2017-03-19,148.99655,149.75085,159.79828,161.6975,172.99138
2017-03-20,149.75085,159.79828,161.6975,172.99138,177.9661
2017-03-21,159.79828,161.6975,172.99138,177.9661,178.7
2017-03-22,161.6975,172.99138,177.9661,178.7,183.50862
2017-03-23,172.99138,177.9661,178.7,183.50862,187.77241
2017-03-24,177.9661,178.7,183.50862,187.77241,192.2069
2017-03-25,178.7,183.50862,187.77241,192.2069,196.76379
2017-03-26,183.50862,187.77241,192.2069,196.76379,196.86034
2017-03-27,187.77241,192.2069,196.76379,196.86034,195.29483
2017-03-28,192.2069,196.76379,196.86034,195.29483,194.47069
2017-03-29,196.76379,196.86034,195.29483,194.47069,193.92712
2017-03-30,196.86034,195.29483,194.47069,193.92712,201.58621
2017-03-31,195.29483,194.47069,193.92712,201.58621,186.62414
2017-04-01,194.47069,193.92712,201.58621,186.62414,181.82241
2017-04-02,193.92712,201.58621,186.62414,181.82241,182.21552
2017-04-03,201.58621,186.62414,181.82241,182.21552,182.74914
2017-04-04,186.62414,181.82241,182.21552,182.74914,188.10351
2017-04-05,181.82241,182.21552,182.74914,188.10351,187.09483
2017-04-06,182.21552,182.74914,188.10351,187.09483,183.89931
2017-04-07,182.74914,188.10351,187.09483,183.89931,171.85915
2017-04-08,188.10351,187.09483,183.89931,171.85915,149.885
2017-04-09,187.09483,183.89931,171.85915,149.885,150.7069
2017-04-10,183.89931,171.85915,149.885,150.7069,148.21897
2017-04-11,171.85915,149.885,150.7069,148.21897,147.64828
2017-04-12,149.885,150.7069,148.21897,147.64828,151.13103
2017-04-13,150.7069,148.21897,147.64828,151.13103,150.11695
2017-04-14,148.21897,147.64828,151.13103,150.11695,147.00339
2017-04-15,147.64828,151.13103,150.11695,147.00339,146.49655
2017-04-16,151.13103,150.11695,147.00339,146.49655,145.5678
2017-04-17,150.11695,147.00339,146.49655,145.5678,148.66034
2017-04-18,147.00339,146.49655,145.5678,148.66034,148.36897
2017-04-19,146.49655,145.5678,148.66034,148.36897,146.41695
2017-04-20,145.5678,148.66034,148.36897,146.41695,144.12881
2017-04-21,148.66034,148.36897,146.41695,144.12881,140.59828
2017-04-22,148.36897,146.41695,144.12881,140.59828,138.17966
2017-04-23,146.41695,144.12881,140.59828,138.17966,134.01864
2017-04-24,144.12881,140.59828,138.17966,134.01864,135.23103
2017-04-25,140.59828,138.17966,134.01864,135.23103,138.58197
2017-04-26,138.17966,134.01864,135.23103,138.58197,141.16379
2017-04-27,134.01864,135.23103,138.58197,141.16379,139.24746
2017-04-28,135.23103,138.58197,141.16379,139.24746,135.33279
2017-04-29,138.58197,141.16379,139.24746,135.33279,134.96207
2017-04-30,141.16379,139.24746,135.33279,134.96207,133.52881
2017-05-01,139.24746,135.33279,134.96207,133.52881,130.75763
2017-05-02,135.33279,134.96207,133.52881,130.75763,136.09322
2017-05-03,134.96207,133.52881,130.75763,136.09322,137.57797
2017-05-04,133.52881,130.75763,136.09322,137.57797,138.67069
2017-05-05,130.75763,136.09322,137.57797,138.67069,136.50508
2017-05-06,136.09322,137.57797,138.67069,136.50508,142.25345
2017-05-07,137.57797,138.67069,136.50508,142.25345,140.91695
2017-05-08,138.67069,136.50508,142.25345,140.91695,145.74915
2017-05-09,136.50508,142.25345,140.91695,145.74915,149.59138
2017-05-10,142.25345,140.91695,145.74915,149.59138,154.09661
2017-05-11,140.91695,145.74915,149.59138,154.09661,152.02712
2017-05-12,145.74915,149.59138,154.09661,152.02712,157.3661
2017-05-13,149.59138,154.09661,152.02712,157.3661,161.38276
2017-05-14,154.09661,152.02712,157.3661,161.38276,160.61667
2017-05-15,152.02712,157.3661,161.38276,160.61667,162.54746
2017-05-16,157.3661,161.38276,160.61667,162.54746,161.66034
2017-05-17,161.38276,160.61667,162.54746,161.66034,158.69831
2017-05-18,160.61667,162.54746,161.66034,158.69831,153.01864
2017-05-19,162.54746,161.66034,158.69831,153.01864,154.47119
2017-05-20,161.66034,158.69831,153.01864,154.47119,152.25254
2017-05-21,158.69831,153.01864,154.47119,152.25254,149.41379
2017-05-22,153.01864,154.47119,152.25254,149.41379,148.87627
2017-05-23,154.47119,152.25254,149.41379,148.87627,149.3661
2017-05-24,152.25254,149.41379,148.87627,149.3661,149.01864
2017-05-25,149.41379,148.87627,149.3661,149.01864,145.8339
2017-05-26,148.87627,149.3661,149.01864,145.8339,144.79655
2017-05-27,149.3661,149.01864,145.8339,144.79655,144.94407
2017-05-28,149.01864,145.8339,144.79655,144.94407,145.41186
2017-05-29,145.8339,144.79655,144.94407,145.41186,144.47288
2017-05-30,144.79655,144.94407,145.41186,144.47288,142.80517
2017-05-31,144.94407,145.41186,144.47288,142.80517,143.98689
2017-06-01,145.41186,144.47288,142.80517,143.98689,140.88621
2017-06-02,144.47288,142.80517,143.98689,140.88621,140.52712
2017-06-03,142.80517,143.98689,140.88621,140.52712,142.00169
2017-06-04,143.98689,140.88621,140.52712,142.00169,142.16441
2017-06-05,140.88621,140.52712,142.00169,142.16441,146.30208
2017-06-06,140.52712,142.00169,142.16441,146.30208,142.5825
2017-06-07,142.00169,142.16441,146.30208,142.5825,138.54615
2017-06-08,142.16441,146.30208,142.5825,138.54615,138.085
2017-06-09,146.30208,142.5825,138.54615,138.085,137.78205
2017-06-10,142.5825,138.54615,138.085,137.78205,135.49
2017-06-11,138.54615,138.085,137.78205,135.49,140.66923
2017-06-12,138.085,137.78205,135.49,140.66923,140.91795
2017-06-13,137.78205,135.49,140.66923,140.91795,143.74
2017-06-14,135.49,140.66923,140.91795,143.74,143.95897
2017-06-15,140.66923,140.91795,143.74,143.95897,145.0025
2017-06-16,140.91795,143.74,143.95897,145.0025,146.73077
2017-06-17,143.74,143.95897,145.0025,146.73077,148.50769
2017-06-18,143.95897,145.0025,146.73077,148.50769,147.86
2017-06-19,145.0025,146.73077,148.50769,147.86,150.35128
2017-06-20,146.73077,148.50769,147.86,150.35128,149.4625
2017-06-21,148.50769,147.86,150.35128,149.4625,149.5359
2017-06-22,147.86,150.35128,149.4625,149.5359,145.10769
2017-06-23,150.35128,149.4625,149.5359,145.10769,148.1075
2017-06-24,149.4625,149.5359,145.10769,148.1075,147.12
2017-06-25,149.5359,145.10769,148.1075,147.12,149.39487
2017-06-26,145.10769,148.1075,147.12,149.39487,151.36154
2017-06-27,148.1075,147.12,149.39487,151.36154,143.97
2017-06-28,147.12,149.39487,151.36154,143.97,149.6
2017-06-29,149.39487,151.36154,143.97,149.6,150.5175
2017-06-30,151.36154,143.97,149.6,150.5175,153.58974
2017-07-01,143.97,149.6,150.5175,153.58974,152.0
2017-07-02,149.6,150.5175,153.58974,152.0,159.26667
2017-07-03,150.5175,153.58974,152.0,159.26667,154.0025
2017-07-04,153.58974,152.0,159.26667,154.0025,161.66667
2017-07-05,152.0,159.26667,154.0025,161.66667,158.8775
2017-07-06,159.26667,154.0025,161.66667,158.8775,169.55128
2017-07-07,154.0025,161.66667,158.8775,169.55128,176.985
2017-07-08,161.66667,158.8775,169.55128,176.985,169.975
2017-07-09,158.8775,169.55128,176.985,169.975,170.52308
2017-07-10,169.55128,176.985,169.975,170.52308,169.12308
2017-07-11,176.985,169.975,170.52308,169.12308,166.0525
2017-07-12,169.975,170.52308,169.12308,166.0525,162.35897
2017-07-13,170.52308,169.12308,166.0525,162.35897,166.225
2017-07-14,169.12308,166.0525,162.35897,166.225,163.90769
2017-07-15,166.0525,162.35897,166.225,163.90769,165.645
2017-07-16,162.35897,166.225,163.90769,165.645,162.94103
2017-07-17,166.225,163.90769,165.645,162.94103,161.5
2017-07-18,163.90769,165.645,162.94103,161.5,163.58974
2017-07-19,165.645,162.94103,161.5,163.58974,164.36923
2017-07-20,162.94103,161.5,163.58974,164.36923,161.5
2017-07-21,161.5,163.58974,164.36923,161.5,167.1875
2017-07-22,163.58974,164.36923,161.5,167.1875,173.6359
2017-07-23,164.36923,161.5,167.1875,173.6359,172.1
2017-07-24,161.5,167.1875,173.6359,172.1,177.91026
2017-07-25,167.1875,173.6359,172.1,177.91026,181.4
2017-07-26,173.6359,172.1,177.91026,181.4,192.97838
2017-07-27,172.1,177.91026,181.4,192.97838,121.25
2017-07-28,177.91026,181.4,192.97838,121.25,130.01
2017-07-29,181.4,192.97838,121.25,130.01,124.29
2017-07-30,192.97838,121.25,130.01,124.29,134.68627
2017-07-31,121.25,130.01,124.29,134.68627,173.688
2017-08-08,130.01,124.29,134.68627,173.688,180.4
2017-08-09,124.29,134.68627,173.688,180.4,188.096
2017-08-10,134.68627,173.688,180.4,188.096,218.74082
2017-08-11,173.688,180.4,188.096,218.74082,223.778
2017-08-12,180.4,188.096,218.74082,223.778,218.304
2017-08-13,188.096,218.74082,223.778,218.304,214.99
2017-08-14,218.74082,223.778,218.304,214.99,236.06383
2017-08-15,223.778,218.304,214.99,236.06383,227.35306
2017-08-16,218.304,214.99,236.06383,227.35306,219.784
2017-08-17,214.99,236.06383,227.35306,219.784,225.964
2017-08-18,236.06383,227.35306,219.784,225.964,224.88571
2017-08-19,227.35306,219.784,225.964,224.88571,233.094
2017-08-20,219.784,225.964,224.88571,233.094,241.66
2017-08-21,225.964,224.88571,233.094,241.66,243.156
2017-08-22,224.88571,233.094,241.66,243.156,243.6
2017-08-23,233.094,241.66,243.156,243.6,245.286
2017-08-24,241.66,243.156,243.6,245.286,238.44694
2017-08-25,243.156,243.6,245.286,238.44694,235.808
2017-08-26,243.6,245.286,238.44694,235.808,227.03265
2017-08-27,245.286,238.44694,235.808,227.03265,207.462
2017-08-28,238.44694,235.808,227.03265,207.462,199.98776
2017-08-29,235.808,227.03265,207.462,199.98776,193.352
2017-08-30,227.03265,207.462,199.98776,193.352,186.882
2017-08-31,207.462,199.98776,193.352,186.882,177.262
2017-09-01,199.98776,193.352,186.882,177.262,176.88367
2017-09-02,193.352,186.882,177.262,176.88367,185.192
2017-09-03,186.882,177.262,176.88367,185.192,195.375
2017-09-04,177.262,176.88367,185.192,195.375,195.16122
2017-09-05,176.88367,185.192,195.375,195.16122,194.656
2017-09-06,185.192,195.375,195.16122,194.656,211.02
2017-09-07,195.375,195.16122,194.656,211.02,217.56327
2017-09-08,195.16122,194.656,211.02,217.56327,214.652
2017-09-09,194.656,211.02,217.56327,214.652,209.81633
2017-09-10,211.02,217.56327,214.652,209.81633,206.354
2017-09-11,217.56327,214.652,209.81633,206.354,203.644
2017-09-12,214.652,209.81633,206.354,203.644,206.518
2017-09-13,209.81633,206.354,203.644,206.518,208.90408
2017-09-14,206.354,203.644,206.518,208.90408,205.67647
2017-09-15,203.644,206.518,208.90408,205.67647,202.278
2017-09-16,206.518,208.90408,205.67647,202.278,199.78846
2017-09-17,208.90408,205.67647,202.278,199.78846,200.5
2017-09-18,205.67647,202.278,199.78846,200.5,205.25577
2017-09-19,202.278,199.78846,200.5,205.25577,207.19412
2017-09-20,199.78846,200.5,205.25577,207.19412,205.25882
2017-09-21,200.5,205.25577,207.19412,205.25882,210.404
2017-09-22,205.25577,207.19412,205.25882,210.404,211.514
2017-09-23,207.19412,205.25882,210.404,211.514,209.57885
2017-09-24,205.25882,210.404,211.514,209.57885,209.31
2017-09-25,210.404,211.514,209.57885,209.31,209.84314
2017-09-26,211.514,209.57885,209.31,209.84314,209.51
2017-09-27,209.57885,209.31,209.84314,209.51,213.53333
2017-09-28,209.31,209.84314,209.51,213.53333,211.72745
2017-09-29,209.84314,209.51,213.53333,211.72745,203.45686
2017-09-30,209.51,213.53333,211.72745,203.45686,200.06
2017-10-01,213.53333,211.72745,203.45686,200.06,200.22941
2017-10-02,211.72745,203.45686,200.06,200.22941,204.72
2017-10-03,203.45686,200.06,200.22941,204.72,202.49804
2017-10-04,200.06,200.22941,204.72,202.49804,191.224
2017-10-05,200.22941,204.72,202.49804,191.224,173.91765
2017-10-06,204.72,202.49804,191.224,173.91765,169.798
2017-10-07,202.49804,191.224,173.91765,169.798,171.81176
2017-10-08,191.224,173.91765,169.798,171.81176,175.224
2017-10-09,173.91765,169.798,171.81176,175.224,179.37843
2017-10-10,169.798,171.81176,175.224,179.37843,174.79615
2017-10-11,171.81176,175.224,179.37843,174.79615,174.614
2017-10-12,175.224,179.37843,174.79615,174.614,173.68039
2017-10-13,179.37843,174.79615,174.614,173.68039,173.054
2017-10-14,174.79615,174.614,173.68039,173.054,170.47255
2017-10-15,174.614,173.68039,173.054,170.47255,169.53137
2017-10-16,173.68039,173.054,170.47255,169.53137,168.16
2017-10-17,173.054,170.47255,169.53137,168.16,167.18824
2017-10-18,170.47255,169.53137,168.16,167.18824,161.494
2017-10-19,169.53137,168.16,167.18824,161.494,153.17451
2017-10-20,168.16,167.18824,161.494,153.17451,140.81569
2017-10-21,167.18824,161.494,153.17451,140.81569,135.0
2017-10-22,161.494,153.17451,140.81569,135.0,132.34314
2017-10-23,153.17451,140.81569,135.0,132.34314,130.016
2017-10-24,140.81569,135.0,132.34314,130.016,129.47059
2017-10-25,135.0,132.34314,130.016,129.47059,125.76
2017-10-26,132.34314,130.016,129.47059,125.76,119.252
2017-10-27,130.016,129.47059,125.76,119.252,116.51765
2017-10-28,129.47059,125.76,119.252,116.51765,109.202
2017-10-29,125.76,119.252,116.51765,109.202,106.1
2017-10-30,119.252,116.51765,109.202,106.1,109.66471
2017-10-31,116.51765,109.202,106.1,109.66471,115.91176
2017-11-01,109.202,106.1,109.66471,115.91176,111.808
2017-11-02,106.1,109.66471,115.91176,111.808,114.056
