Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-08,0.08223,0.08143,0.08148,0.08036,0.07952
2016-09-09,0.08143,0.08148,0.08036,0.07952,0.0787
2016-09-10,0.08148,0.08036,0.07952,0.0787,0.07962
2016-09-11,0.08036,0.07952,0.0787,0.07962,0.0816
2016-09-12,0.07952,0.0787,0.07962,0.0816,0.08311
2016-09-13,0.0787,0.07962,0.0816,0.08311,0.08124
2016-09-14,0.07962,0.0816,0.08311,0.08124,0.08106
2016-09-15,0.0816,0.08311,0.08124,0.08106,0.07761
2016-09-16,0.08311,0.08124,0.08106,0.07761,0.07539
2016-09-17,0.08124,0.08106,0.07761,0.07539,0.0754
2016-09-18,0.08106,0.07761,0.07539,0.0754,0.0752
2016-09-19,0.07761,0.07539,0.0754,0.0752,0.07637
2016-09-20,0.07539,0.0754,0.0752,0.07637,0.07475
2016-09-21,0.0754,0.0752,0.07637,0.07475,0.07385
2016-09-22,0.0752,0.07637,0.07475,0.07385,0.07197
2016-09-23,0.07637,0.07475,0.07385,0.07197,0.07251
2016-09-24,0.07475,0.07385,0.07197,0.07251,0.07127
2016-09-25,0.07385,0.07197,0.07251,0.07127,0.07088
2016-09-26,0.07197,0.07251,0.07127,0.07088,0.0694
2016-09-27,0.07251,0.07127,0.07088,0.0694,0.07197
2016-09-28,0.07127,0.07088,0.0694,0.07197,0.07548
2016-09-29,0.07088,0.0694,0.07197,0.07548,0.07284
2016-09-30,0.0694,0.07197,0.07548,0.07284,0.0699
2016-10-01,0.07197,0.07548,0.07284,0.0699,0.07691
2016-10-02,0.07548,0.07284,0.0699,0.07691,0.07644
2016-10-03,0.07284,0.0699,0.07691,0.07644,0.07438
2016-10-04,0.0699,0.07691,0.07644,0.07438,0.07469
2016-10-05,0.07691,0.07644,0.07438,0.07469,0.07705
2016-10-06,0.07644,0.07438,0.07469,0.07705,0.07572
2016-10-07,0.07438,0.07469,0.07705,0.07572,0.07529
2016-10-08,0.07469,0.07705,0.07572,0.07529,0.0755
2016-10-09,0.07705,0.07572,0.07529,0.0755,0.07524
2016-10-10,0.07572,0.07529,0.0755,0.07524,0.07435
2016-10-11,0.07529,0.0755,0.07524,0.07435,0.07584
2016-10-12,0.0755,0.07524,0.07435,0.07584,0.07671
2016-10-13,0.07524,0.07435,0.07584,0.07671,0.07642
2016-10-14,0.07435,0.07584,0.07671,0.07642,0.07759
2016-10-15,0.07584,0.07671,0.07642,0.07759,0.07863
2016-10-16,0.07671,0.07642,0.07759,0.07863,0.07969
2016-10-17,0.07642,0.07759,0.07863,0.07969,0.08079
2016-10-18,0.07759,0.07863,0.07969,0.08079,0.08315
2016-10-19,0.07863,0.07969,0.08079,0.08315,0.08108
2016-10-20,0.07969,0.08079,0.08315,0.08108,0.08133
2016-10-21,0.08079,0.08315,0.08108,0.08133,0.08167
2016-10-22,0.08315,0.08108,0.08133,0.08167,0.08276
2016-10-23,0.08108,0.08133,0.08167,0.08276,0.08223
2016-10-24,0.08133,0.08167,0.08276,0.08223,0.08196
2016-10-25,0.08167,0.08276,0.08223,0.08196,0.08283
2016-10-26,0.08276,0.08223,0.08196,0.08283,0.08203
2016-10-27,0.08223,0.08196,0.08283,0.08203,0.08265
2016-10-28,0.08196,0.08283,0.08203,0.08265,0.08215
2016-10-29,0.08283,0.08203,0.08265,0.08215,0.08125
2016-10-30,0.08203,0.08265,0.08215,0.08125,0.08127
2016-10-31,0.08265,0.08215,0.08125,0.08127,0.08213
2016-11-01,0.08215,0.08125,0.08127,0.08213,0.0832
2016-11-02,0.08125,0.08127,0.08213,0.0832,0.08332
2016-11-03,0.08127,0.08213,0.0832,0.08332,0.08333
2016-11-04,0.08213,0.0832,0.08332,0.08333,0.08394
2016-11-05,0.0832,0.08332,0.08333,0.08394,0.08885
2016-11-06,0.08332,0.08333,0.08394,0.08885,0.09153
2016-11-07,0.08333,0.08394,0.08885,0.09153,0.09385
2016-11-08,0.08394,0.08885,0.09153,0.09385,0.09333
2016-11-09,0.08885,0.09153,0.09385,0.09333,0.09198
2016-11-10,0.09153,0.09385,0.09333,0.09198,0.09057
2016-11-11,0.09385,0.09333,0.09198,0.09057,0.08983
2016-11-12,0.09333,0.09198,0.09057,0.08983,0.08924
2016-11-13,0.09198,0.09057,0.08983,0.08924,0.09165
2016-11-14,0.09057,0.08983,0.08924,0.09165,0.09625
2016-11-15,0.08983,0.08924,0.09165,0.09625,0.09963
2016-11-16,0.08924,0.09165,0.09625,0.09963,0.09999
2016-11-17,0.09165,0.09625,0.09963,0.09999,0.1035
2016-11-18,0.09625,0.09963,0.09999,0.1035,0.11018
2016-11-19,0.09963,0.09999,0.1035,0.11018,0.10898
2016-11-20,0.09999,0.1035,0.11018,0.10898,0.10656
2016-11-21,0.1035,0.11018,0.10898,0.10656,0.10141
2016-11-22,0.11018,0.10898,0.10656,0.10141,0.0994
2016-11-23,0.10898,0.10656,0.10141,0.0994,0.09881
2016-11-24,0.10656,0.10141,0.0994,0.09881,0.16602
2016-11-25,0.10141,0.0994,0.09881,0.16602,0.05501
2016-11-26,0.0994,0.09881,0.16602,0.05501,0.06115
2016-11-27,0.09881,0.16602,0.05501,0.06115,0.07425
2016-11-28,0.16602,0.05501,0.06115,0.07425,0.08216
2016-12-02,0.05501,0.06115,0.07425,0.08216,0.08853
2016-12-03,0.06115,0.07425,0.08216,0.08853,0.09082
2016-12-04,0.07425,0.08216,0.08853,0.09082,0.09392
2016-12-05,0.08216,0.08853,0.09082,0.09392,0.09205
2016-12-06,0.08853,0.09082,0.09392,0.09205,0.09091
2016-12-07,0.09082,0.09392,0.09205,0.09091,0.09081
2016-12-08,0.09392,0.09205,0.09091,0.09081,0.09048
2016-12-09,0.09205,0.09091,0.09081,0.09048,0.09069
2016-12-10,0.09091,0.09081,0.09048,0.09069,0.09833
2016-12-11,0.09081,0.09048,0.09069,0.09833,0.09832
2016-12-12,0.09048,0.09069,0.09833,0.09832,0.1003
2016-12-13,0.09069,0.09833,0.09832,0.1003,0.10998
2016-12-14,0.09833,0.09832,0.1003,0.10998,0.10548
2016-12-15,0.09832,0.1003,0.10998,0.10548,0.1025
2016-12-16,0.1003,0.10998,0.10548,0.1025,0.09999
2016-12-17,0.10998,0.10548,0.1025,0.09999,0.09936
2016-12-18,0.10548,0.1025,0.09999,0.09936,0.09949
2016-12-19,0.1025,0.09999,0.09936,0.09949,0.09749
2016-12-20,0.09999,0.09936,0.09949,0.09749,0.0962
2016-12-21,0.09936,0.09949,0.09749,0.0962,0.09442
2016-12-22,0.09949,0.09749,0.0962,0.09442,0.09175
2016-12-23,0.09749,0.0962,0.09442,0.09175,0.09099
2016-12-24,0.0962,0.09442,0.09175,0.09099,0.09091
2016-12-25,0.09442,0.09175,0.09099,0.09091,0.09091
2016-12-26,0.09175,0.09099,0.09091,0.09091,0.09097
2016-12-27,0.09099,0.09091,0.09091,0.09097,0.09063
2016-12-28,0.09091,0.09091,0.09097,0.09063,0.09001
2016-12-29,0.09091,0.09097,0.09063,0.09001,0.08914
2016-12-30,0.09097,0.09063,0.09001,0.08914,0.08732
2016-12-31,0.09063,0.09001,0.08914,0.08732,0.08529
2017-01-01,0.09001,0.08914,0.08732,0.08529,0.08203
2017-01-02,0.08914,0.08732,0.08529,0.08203,0.07933
2017-01-03,0.08732,0.08529,0.08203,0.07933,0.07896
2017-01-04,0.08529,0.08203,0.07933,0.07896,0.07826
2017-01-05,0.08203,0.07933,0.07896,0.07826,0.07695
2017-01-06,0.07933,0.07896,0.07826,0.07695,0.07663
2017-01-07,0.07896,0.07826,0.07695,0.07663,0.07687
2017-01-08,0.07826,0.07695,0.07663,0.07687,0.07692
2017-01-09,0.07695,0.07663,0.07687,0.07692,0.07688
2017-01-10,0.07663,0.07687,0.07692,0.07688,0.07612
2017-01-11,0.07687,0.07692,0.07688,0.07612,0.0741
2017-01-12,0.07692,0.07688,0.07612,0.0741,0.07345
2017-01-13,0.07688,0.07612,0.0741,0.07345,0.07269
2017-01-14,0.07612,0.0741,0.07345,0.07269,0.07126
2017-01-15,0.0741,0.07345,0.07269,0.07126,0.0709
2017-01-16,0.07345,0.07269,0.07126,0.0709,0.06988
2017-01-17,0.07269,0.07126,0.0709,0.06988,0.06834
2017-01-18,0.07126,0.0709,0.06988,0.06834,0.0663
2017-01-19,0.0709,0.06988,0.06834,0.0663,0.06532
2017-01-20,0.06988,0.06834,0.0663,0.06532,0.06465
2017-01-21,0.06834,0.0663,0.06532,0.06465,0.06493
2017-01-22,0.0663,0.06532,0.06465,0.06493,0.06412
2017-01-23,0.06532,0.06465,0.06493,0.06412,0.06546
2017-01-24,0.06465,0.06493,0.06412,0.06546,0.06591
2017-01-25,0.06493,0.06412,0.06546,0.06591,0.06553
2017-01-26,0.06412,0.06546,0.06591,0.06553,0.06651
2017-01-27,0.06546,0.06591,0.06553,0.06651,0.06667
2017-01-28,0.06591,0.06553,0.06651,0.06667,0.06669
2017-01-29,0.06553,0.06651,0.06667,0.06669,0.0667
2017-01-30,0.06651,0.06667,0.06669,0.0667,0.0674
2017-01-31,0.06667,0.06669,0.0667,0.0674,0.06696
2017-02-01,0.06669,0.0667,0.0674,0.06696,0.06665
2017-02-02,0.0667,0.0674,0.06696,0.06665,0.06667
2017-02-03,0.0674,0.06696,0.06665,0.06667,0.06667
2017-02-04,0.06696,0.06665,0.06667,0.06667,0.06728
2017-02-05,0.06665,0.06667,0.06667,0.06728,0.06708
2017-02-06,0.06667,0.06667,0.06728,0.06708,0.06759
2017-02-07,0.06667,0.06728,0.06708,0.06759,0.06815
2017-02-08,0.06728,0.06708,0.06759,0.06815,0.06869
2017-02-09,0.06708,0.06759,0.06815,0.06869,0.06978
2017-02-10,0.06759,0.06815,0.06869,0.06978,0.07006
2017-02-11,0.06815,0.06869,0.06978,0.07006,0.07058
2017-02-12,0.06869,0.06978,0.07006,0.07058,0.07099
2017-02-13,0.06978,0.07006,0.07058,0.07099,0.07108
2017-02-14,0.07006,0.07058,0.07099,0.07108,0.07142
2017-02-15,0.07058,0.07099,0.07108,0.07142,0.0725
2017-02-16,0.07099,0.07108,0.07142,0.0725,0.07143
2017-02-17,0.07108,0.07142,0.0725,0.07143,0.07318
2017-02-18,0.07142,0.0725,0.07143,0.07318,0.07493
2017-02-19,0.0725,0.07143,0.07318,0.07493,0.07428
2017-02-20,0.07143,0.07318,0.07493,0.07428,0.07457
2017-02-21,0.07318,0.07493,0.07428,0.07457,0.07435
2017-02-22,0.07493,0.07428,0.07457,0.07435,0.07438
2017-02-23,0.07428,0.07457,0.07435,0.07438,0.07668
2017-02-24,0.07457,0.07435,0.07438,0.07668,0.7457
2017-02-25,0.07435,0.07438,0.07668,0.7457,0.04272
2017-02-26,0.07438,0.07668,0.7457,0.04272,0.05084
2017-02-27,0.07668,0.7457,0.04272,0.05084,0.07224
2017-02-28,0.7457,0.04272,0.05084,0.07224,0.08521
2017-03-03,0.04272,0.05084,0.07224,0.08521,0.09092
2017-03-04,0.05084,0.07224,0.08521,0.09092,0.09187
2017-03-05,0.07224,0.08521,0.09092,0.09187,0.09408
2017-03-06,0.08521,0.09092,0.09187,0.09408,0.09097
2017-03-07,0.09092,0.09187,0.09408,0.09097,0.08899
2017-03-08,0.09187,0.09408,0.09097,0.08899,0.08832
2017-03-09,0.09408,0.09097,0.08899,0.08832,0.08743
2017-03-10,0.09097,0.08899,0.08832,0.08743,0.08521
2017-03-11,0.08899,0.08832,0.08743,0.08521,0.0839
2017-03-12,0.08832,0.08743,0.08521,0.0839,0.08535
2017-03-13,0.08743,0.08521,0.0839,0.08535,0.08403
2017-03-14,0.08521,0.0839,0.08535,0.08403,0.08298
2017-03-15,0.0839,0.08535,0.08403,0.08298,0.08199
2017-03-16,0.08535,0.08403,0.08298,0.08199,0.08058
2017-03-17,0.08403,0.08298,0.08199,0.08058,0.07782
2017-03-18,0.08298,0.08199,0.08058,0.07782,0.07464
2017-03-19,0.08199,0.08058,0.07782,0.07464,0.07277
2017-03-20,0.08058,0.07782,0.07464,0.07277,0.07145
2017-03-21,0.07782,0.07464,0.07277,0.07145,0.07155
2017-03-22,0.07464,0.07277,0.07145,0.07155,0.07151
2017-03-23,0.07277,0.07145,0.07155,0.07151,0.07134
2017-03-24,0.07145,0.07155,0.07151,0.07134,0.06912
2017-03-25,0.07155,0.07151,0.07134,0.06912,0.06677
2017-03-26,0.07151,0.07134,0.06912,0.06677,0.06526
2017-03-27,0.07134,0.06912,0.06677,0.06526,0.06269
2017-03-28,0.06912,0.06677,0.06526,0.06269,0.0632
2017-03-29,0.06677,0.06526,0.06269,0.0632,0.06335
2017-03-30,0.06526,0.06269,0.0632,0.06335,0.06494
2017-03-31,0.06269,0.0632,0.06335,0.06494,0.06305
2017-04-01,0.0632,0.06335,0.06494,0.06305,0.06242
2017-04-02,0.06335,0.06494,0.06305,0.06242,0.06229
2017-04-03,0.06494,0.06305,0.06242,0.06229,0.06597
2017-04-04,0.06305,0.06242,0.06229,0.06597,0.07733
2017-04-05,0.06242,0.06229,0.06597,0.07733,0.08888
2017-04-06,0.06229,0.06597,0.07733,0.08888,0.09377
2017-04-07,0.06597,0.07733,0.08888,0.09377,0.10181
2017-04-08,0.07733,0.08888,0.09377,0.10181,0.11261
2017-04-09,0.08888,0.09377,0.10181,0.11261,0.12315
2017-04-10,0.09377,0.10181,0.11261,0.12315,0.12487
2017-04-11,0.10181,0.11261,0.12315,0.12487,0.12496
2017-04-12,0.11261,0.12315,0.12487,0.12496,0.12499
2017-04-13,0.12315,0.12487,0.12496,0.12499,0.125
2017-04-14,0.12487,0.12496,0.12499,0.125,0.125
2017-04-15,0.12496,0.12499,0.125,0.125,0.1233
2017-04-16,0.12499,0.125,0.125,0.1233,0.11905
2017-04-17,0.125,0.125,0.1233,0.11905,0.11962
2017-04-18,0.125,0.1233,0.11905,0.11962,0.11965
2017-04-19,0.1233,0.11905,0.11962,0.11965,0.11964
2017-04-20,0.11905,0.11962,0.11965,0.11964,0.1178
2017-04-21,0.11962,0.11965,0.11964,0.1178,0.11709
2017-04-22,0.11965,0.11964,0.1178,0.11709,0.1206
2017-04-23,0.11964,0.1178,0.11709,0.1206,0.12148
2017-04-24,0.1178,0.11709,0.1206,0.12148,0.12134
2017-04-25,0.11709,0.1206,0.12148,0.12134,0.12056
2017-04-26,0.1206,0.12148,0.12134,0.12056,0.1191
2017-04-27,0.12148,0.12134,0.12056,0.1191,0.11813
2017-04-28,0.12134,0.12056,0.1191,0.11813,0.11786
2017-04-29,0.12056,0.1191,0.11813,0.11786,0.11173
2017-04-30,0.1191,0.11813,0.11786,0.11173,0.1106
2017-05-01,0.11813,0.11786,0.11173,0.1106,0.11111
2017-05-02,0.11786,0.11173,0.1106,0.11111,0.11072
2017-05-03,0.11173,0.1106,0.11111,0.11072,0.11108
2017-05-04,0.1106,0.11111,0.11072,0.11108,0.11082
2017-05-05,0.11111,0.11072,0.11108,0.11082,0.11111
2017-05-06,0.11072,0.11108,0.11082,0.11111,0.11111
2017-05-07,0.11108,0.11082,0.11111,0.11111,0.11111
2017-05-08,0.11082,0.11111,0.11111,0.11111,0.11111
2017-05-09,0.11111,0.11111,0.11111,0.11111,0.11121
2017-05-10,0.11111,0.11111,0.11111,0.11121,0.11101
2017-05-11,0.11111,0.11111,0.11121,0.11101,0.11111
2017-05-12,0.11111,0.11121,0.11101,0.11111,0.11111
2017-05-13,0.11121,0.11101,0.11111,0.11111,0.11086
2017-05-14,0.11101,0.11111,0.11111,0.11086,0.10991
2017-05-15,0.11111,0.11111,0.11086,0.10991,0.10998
2017-05-16,0.11111,0.11086,0.10991,0.10998,0.10987
2017-05-17,0.11086,0.10991,0.10998,0.10987,0.10968
2017-05-18,0.10991,0.10998,0.10987,0.10968,0.10964
2017-05-19,0.10998,0.10987,0.10968,0.10964,0.10987
2017-05-20,0.10987,0.10968,0.10964,0.10987,0.10988
2017-05-21,0.10968,0.10964,0.10987,0.10988,0.10935
2017-05-22,0.10964,0.10987,0.10988,0.10935,0.10872
2017-05-23,0.10987,0.10988,0.10935,0.10872,0.10897
2017-05-24,0.10988,0.10935,0.10872,0.10897,0.10924
2017-05-25,0.10935,0.10872,0.10897,0.10924,0.10921
2017-05-26,0.10872,0.10897,0.10924,0.10921,0.10922
2017-05-27,0.10897,0.10924,0.10921,0.10922,0.10908
2017-05-28,0.10924,0.10921,0.10922,0.10908,0.10938
2017-05-29,0.10921,0.10922,0.10908,0.10938,0.10948
2017-05-30,0.10922,0.10908,0.10938,0.10948,0.10875
2017-05-31,0.10908,0.10938,0.10948,0.10875,0.10533
2017-06-01,0.10938,0.10948,0.10875,0.10533,0.10241
2017-06-02,0.10948,0.10875,0.10533,0.10241,0.101
2017-06-03,0.10875,0.10533,0.10241,0.101,0.1
2017-06-04,0.10533,0.10241,0.101,0.1,0.10094
2017-06-05,0.10241,0.101,0.1,0.10094,0.10606
2017-06-06,0.101,0.1,0.10094,0.10606,0.10553
2017-06-07,0.1,0.10094,0.10606,0.10553,0.10245
2017-06-08,0.10094,0.10606,0.10553,0.10245,0.10279
2017-06-09,0.10606,0.10553,0.10245,0.10279,0.10413
2017-06-10,0.10553,0.10245,0.10279,0.10413,0.10433
2017-06-11,0.10245,0.10279,0.10413,0.10433,0.10628
2017-06-12,0.10279,0.10413,0.10433,0.10628,0.10694
2017-06-13,0.10413,0.10433,0.10628,0.10694,0.1054
2017-06-14,0.10433,0.10628,0.10694,0.1054,0.10557
2017-06-15,0.10628,0.10694,0.1054,0.10557,0.10619
2017-06-16,0.10694,0.1054,0.10557,0.10619,0.10691
2017-06-17,0.1054,0.10557,0.10619,0.10691,0.10686
2017-06-18,0.10557,0.10619,0.10691,0.10686,0.10649
2017-06-19,0.10619,0.10691,0.10686,0.10649,0.10845
2017-06-20,0.10691,0.10686,0.10649,0.10845,0.10727
2017-06-21,0.10686,0.10649,0.10845,0.10727,0.09428
2017-06-22,0.10649,0.10845,0.10727,0.09428,0.09715
2017-06-23,0.10845,0.10727,0.09428,0.09715,0.1048
2017-06-24,0.10727,0.09428,0.09715,0.1048,0.10446
2017-06-25,0.09428,0.09715,0.1048,0.10446,0.1043
2017-06-26,0.09715,0.1048,0.10446,0.1043,0.10311
2017-06-27,0.1048,0.10446,0.1043,0.10311,0.10205
2017-06-28,0.10446,0.1043,0.10311,0.10205,0.1
2017-06-29,0.1043,0.10311,0.10205,0.1,0.10042
2017-06-30,0.10311,0.10205,0.1,0.10042,0.1001
2017-07-01,0.10205,0.1,0.10042,0.1001,0.1
2017-07-02,0.1,0.10042,0.1001,0.1,0.09978
2017-07-03,0.10042,0.1001,0.1,0.09978,0.0999
2017-07-04,0.1001,0.1,0.09978,0.0999,0.09999
2017-07-05,0.1,0.09978,0.0999,0.09999,0.09998
2017-07-06,0.09978,0.0999,0.09999,0.09998,0.09955
2017-07-07,0.0999,0.09999,0.09998,0.09955,0.10016
2017-07-08,0.09999,0.09998,0.09955,0.10016,0.10031
2017-07-09,0.09998,0.09955,0.10016,0.10031,0.1051
2017-07-10,0.09955,0.10016,0.10031,0.1051,0.10035
