Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-08,8.95694,8.99431,8.99817,9.0,9.0
2016-09-09,8.99431,8.99817,9.0,9.0,9.7049
2016-09-10,8.99817,9.0,9.0,9.7049,10.14755
2016-09-11,9.0,9.0,9.7049,10.14755,10.27517
2016-09-12,9.0,9.7049,10.14755,10.27517,10.11444
2016-09-13,9.7049,10.14755,10.27517,10.11444,9.97852
2016-09-14,10.14755,10.27517,10.11444,9.97852,9.99549
2016-09-15,10.27517,10.11444,9.97852,9.99549,9.99824
2016-09-16,10.11444,9.97852,9.99549,9.99824,9.99887
2016-09-17,9.97852,9.99549,9.99824,9.99887,10.0
2016-09-18,9.99549,9.99824,9.99887,10.0,10.0
2016-09-19,9.99824,9.99887,10.0,10.0,10.0
2016-09-20,9.99887,10.0,10.0,10.0,9.99861
2016-09-21,10.0,10.0,10.0,9.99861,10.1059
2016-09-22,10.0,10.0,9.99861,10.1059,10.94806
2016-09-23,10.0,9.99861,10.1059,10.94806,10.95188
2016-09-24,9.99861,10.1059,10.94806,10.95188,10.99901
2016-09-25,10.1059,10.94806,10.95188,10.99901,10.88684
2016-09-26,10.94806,10.95188,10.99901,10.88684,10.92166
2016-09-27,10.95188,10.99901,10.88684,10.92166,10.99874
2016-09-28,10.99901,10.88684,10.92166,10.99874,10.99986
2016-09-29,10.88684,10.92166,10.99874,10.99986,10.99333
2016-09-30,10.92166,10.99874,10.99986,10.99333,10.30951
2016-10-01,10.99874,10.99986,10.99333,10.30951,10.9993
2016-10-02,10.99986,10.99333,10.30951,10.9993,10.98741
2016-10-03,10.99333,10.30951,10.9993,10.98741,10.99965
2016-10-04,10.30951,10.9993,10.98741,10.99965,10.87541
2016-10-05,10.9993,10.98741,10.99965,10.87541,10.96427
2016-10-06,10.98741,10.99965,10.87541,10.96427,11.0
2016-10-07,10.99965,10.87541,10.96427,11.0,11.0
2016-10-08,10.87541,10.96427,11.0,11.0,11.01469
2016-10-09,10.96427,11.0,11.0,11.01469,11.28434
2016-10-10,11.0,11.0,11.01469,11.28434,11.90635
2016-10-11,11.0,11.01469,11.28434,11.90635,11.91136
2016-10-12,11.01469,11.28434,11.90635,11.91136,11.90903
2016-10-13,11.28434,11.90635,11.91136,11.90903,11.92552
2016-10-14,11.90635,11.91136,11.90903,11.92552,11.99697
2016-10-15,11.91136,11.90903,11.92552,11.99697,11.98889
2016-10-16,11.90903,11.92552,11.99697,11.98889,12.12378
2016-10-17,11.92552,11.99697,11.98889,12.12378,12.18182
2016-10-18,11.99697,11.98889,12.12378,12.18182,12.76584
2016-10-19,11.98889,12.12378,12.18182,12.76584,12.99448
2016-10-20,12.12378,12.18182,12.76584,12.99448,13.0
2016-10-21,12.18182,12.76584,12.99448,13.0,12.86084
2016-10-22,12.76584,12.99448,13.0,12.86084,13.4493
2016-10-23,12.99448,13.0,12.86084,13.4493,13.34406
2016-10-24,13.0,12.86084,13.4493,13.34406,13.47232
2016-10-25,12.86084,13.4493,13.34406,13.47232,13.04813
2016-10-26,13.4493,13.34406,13.47232,13.04813,13.18221
2016-10-27,13.34406,13.47232,13.04813,13.18221,13.24162
2016-10-28,13.47232,13.04813,13.18221,13.24162,13.91337
2016-10-29,13.04813,13.18221,13.24162,13.91337,13.95196
2016-10-30,13.18221,13.24162,13.91337,13.95196,13.99959
2016-10-31,13.24162,13.91337,13.95196,13.99959,13.97573
2016-11-01,13.91337,13.95196,13.99959,13.97573,13.9974
2016-11-02,13.95196,13.99959,13.97573,13.9974,13.69373
2016-11-03,13.99959,13.97573,13.9974,13.69373,13.94811
2016-11-04,13.97573,13.9974,13.69373,13.94811,13.93545
2016-11-05,13.9974,13.69373,13.94811,13.93545,14.27988
2016-11-06,13.69373,13.94811,13.93545,14.27988,14.75281
2016-11-07,13.94811,13.93545,14.27988,14.75281,14.96366
2016-11-08,13.93545,14.27988,14.75281,14.96366,14.99361
2016-11-09,14.27988,14.75281,14.96366,14.99361,14.95273
2016-11-10,14.75281,14.96366,14.99361,14.95273,14.94556
2016-11-11,14.96366,14.99361,14.95273,14.94556,14.94274
2016-11-12,14.99361,14.95273,14.94556,14.94274,14.96175
2016-11-13,14.95273,14.94556,14.94274,14.96175,15.0
2016-11-14,14.94556,14.94274,14.96175,15.0,15.34667
2016-11-15,14.94274,14.96175,15.0,15.34667,15.84098
2016-11-16,14.96175,15.0,15.34667,15.84098,15.1615
2016-11-17,15.0,15.34667,15.84098,15.1615,15.89508
2016-11-18,15.34667,15.84098,15.1615,15.89508,16.21123
2016-11-19,15.84098,15.1615,15.89508,16.21123,15.96684
2016-11-20,15.1615,15.89508,16.21123,15.96684,16.45193
2016-11-21,15.89508,16.21123,15.96684,16.45193,16.02614
2016-11-22,16.21123,15.96684,16.45193,16.02614,15.08783
2016-11-23,15.96684,16.45193,16.02614,15.08783,16.10385
2016-11-24,16.45193,16.02614,15.08783,16.10385,6.11667
2016-11-25,16.02614,15.08783,16.10385,6.11667,5.0
2016-11-26,15.08783,16.10385,6.11667,5.0,5.82857
2016-11-27,16.10385,6.11667,5.0,5.82857,6.62288
2016-11-28,6.11667,5.0,5.82857,6.62288,7.31404
2016-12-03,5.0,5.82857,6.62288,7.31404,7.6875
2016-12-04,5.82857,6.62288,7.31404,7.6875,8.0
2016-12-05,6.62288,7.31404,7.6875,8.0,8.0
2016-12-06,7.31404,7.6875,8.0,8.0,8.06455
2016-12-07,7.6875,8.0,8.0,8.06455,8.99545
2016-12-08,8.0,8.0,8.06455,8.99545,9.0
2016-12-09,8.0,8.06455,8.99545,9.0,9.30893
2016-12-10,8.06455,8.99545,9.0,9.30893,10.0
2016-12-11,8.99545,9.0,9.30893,10.0,10.30778
2016-12-12,9.0,9.30893,10.0,10.30778,11.0
2016-12-13,9.30893,10.0,10.30778,11.0,10.86873
2016-12-14,10.0,10.30778,11.0,10.86873,10.47003
2016-12-15,10.30778,11.0,10.86873,10.47003,10.0
2016-12-16,11.0,10.86873,10.47003,10.0,10.0
2016-12-17,10.86873,10.47003,10.0,10.0,10.0
2016-12-18,10.47003,10.0,10.0,10.0,10.0
2016-12-19,10.0,10.0,10.0,10.0,10.0
2016-12-20,10.0,10.0,10.0,10.0,10.0
2016-12-21,10.0,10.0,10.0,10.0,10.0
2016-12-22,10.0,10.0,10.0,10.0,10.0
2016-12-23,10.0,10.0,10.0,10.0,10.0
2016-12-24,10.0,10.0,10.0,10.0,10.0
2016-12-25,10.0,10.0,10.0,10.0,10.0
2016-12-26,10.0,10.0,10.0,10.0,10.0
2016-12-27,10.0,10.0,10.0,10.0,10.0
2016-12-28,10.0,10.0,10.0,10.0,10.0
2016-12-29,10.0,10.0,10.0,10.0,10.0
2016-12-30,10.0,10.0,10.0,10.0,10.0
2016-12-31,10.0,10.0,10.0,10.0,10.0
2017-01-01,10.0,10.0,10.0,10.0,10.0
2017-01-02,10.0,10.0,10.0,10.0,9.96364
2017-01-03,10.0,10.0,10.0,9.96364,9.82242
2017-01-04,10.0,10.0,9.96364,9.82242,9.2089
2017-01-05,10.0,9.96364,9.82242,9.2089,9.02964
2017-01-06,9.96364,9.82242,9.2089,9.02964,9.50588
2017-01-07,9.82242,9.2089,9.02964,9.50588,9.87065
2017-01-08,9.2089,9.02964,9.50588,9.87065,9.70473
2017-01-09,9.02964,9.50588,9.87065,9.70473,9.9503
2017-01-10,9.50588,9.87065,9.70473,9.9503,9.39315
2017-01-11,9.87065,9.70473,9.9503,9.39315,9.02327
2017-01-12,9.70473,9.9503,9.39315,9.02327,9.0
2017-01-13,9.9503,9.39315,9.02327,9.0,9.0
2017-01-14,9.39315,9.02327,9.0,9.0,9.0
2017-01-15,9.02327,9.0,9.0,9.0,9.0
2017-01-16,9.0,9.0,9.0,9.0,9.0
2017-01-17,9.0,9.0,9.0,9.0,9.0
2017-01-18,9.0,9.0,9.0,9.0,9.0
2017-01-19,9.0,9.0,9.0,9.0,9.0
2017-01-20,9.0,9.0,9.0,9.0,9.0
2017-01-21,9.0,9.0,9.0,9.0,9.0
2017-01-22,9.0,9.0,9.0,9.0,9.0
2017-01-23,9.0,9.0,9.0,9.0,9.0
2017-01-24,9.0,9.0,9.0,9.0,9.0
2017-01-25,9.0,9.0,9.0,9.0,9.13214
2017-01-26,9.0,9.0,9.0,9.13214,9.29064
2017-01-27,9.0,9.0,9.13214,9.29064,9.91179
2017-01-28,9.0,9.13214,9.29064,9.91179,10.0
2017-01-29,9.13214,9.29064,9.91179,10.0,10.0
2017-01-30,9.29064,9.91179,10.0,10.0,10.0
2017-01-31,9.91179,10.0,10.0,10.0,10.0
2017-02-01,10.0,10.0,10.0,10.0,10.39719
2017-02-02,10.0,10.0,10.0,10.39719,10.69129
2017-02-03,10.0,10.0,10.39719,10.69129,11.05489
2017-02-04,10.0,10.39719,10.69129,11.05489,12.0
2017-02-05,10.39719,10.69129,11.05489,12.0,12.28621
2017-02-06,10.69129,11.05489,12.0,12.28621,12.94211
2017-02-07,11.05489,12.0,12.28621,12.94211,13.0
2017-02-08,12.0,12.28621,12.94211,13.0,13.30263
2017-02-09,12.28621,12.94211,13.0,13.30263,14.0
2017-02-10,12.94211,13.0,13.30263,14.0,14.0
2017-02-11,13.0,13.30263,14.0,14.0,14.0
2017-02-12,13.30263,14.0,14.0,14.0,14.01754
2017-02-13,14.0,14.0,14.0,14.01754,14.0
2017-02-14,14.0,14.0,14.01754,14.0,14.0
2017-02-15,14.0,14.01754,14.0,14.0,14.0
2017-02-16,14.01754,14.0,14.0,14.0,14.0
2017-02-17,14.0,14.0,14.0,14.0,14.0
2017-02-18,14.0,14.0,14.0,14.0,13.99483
2017-02-19,14.0,14.0,14.0,13.99483,14.70164
2017-02-20,14.0,14.0,13.99483,14.70164,14.97241
2017-02-21,14.0,13.99483,14.70164,14.97241,15.57966
2017-02-22,13.99483,14.70164,14.97241,15.57966,16.81293
2017-02-23,14.70164,14.97241,15.57966,16.81293,17.56667
2017-02-24,14.97241,15.57966,16.81293,17.56667,4.69667
2017-02-25,15.57966,16.81293,17.56667,4.69667,4.5181
2017-02-26,16.81293,17.56667,4.69667,4.5181,5.32807
2017-02-27,17.56667,4.69667,4.5181,5.32807,6.0
2017-02-28,4.69667,4.5181,5.32807,6.0,6.63325
2017-03-04,4.5181,5.32807,6.0,6.63325,6.96305
2017-03-05,5.32807,6.0,6.63325,6.96305,6.95339
2017-03-06,6.0,6.63325,6.96305,6.95339,6.96868
2017-03-07,6.63325,6.96305,6.95339,6.96868,7.11276
2017-03-08,6.96305,6.95339,6.96868,7.11276,7.89658
2017-03-09,6.95339,6.96868,7.11276,7.89658,8.04532
2017-03-10,6.96868,7.11276,7.89658,8.04532,8.99181
