Date,Value,League,Confidence
2016-09-08,64.00417,Essence,0
2016-09-09,64.51451,Essence,0
2016-09-10,65.0028,Essence,0
2016-09-11,65.05764,Essence,0
2016-09-12,65.98811,Essence,0
2016-09-13,66.01724,Essence,0
2016-09-14,69.08462,Essence,0
2016-09-15,69.83986,Essence,0
2016-09-16,68.44797,Essence,0
2016-09-17,66.80162,Essence,0
2016-09-18,66.0,Essence,0
2016-09-19,65.99087,Essence,0
2016-09-20,65.11401,Essence,0
2016-09-21,64.70493,Essence,0
2016-09-22,64.72966,Essence,0
2016-09-23,64.94301,Essence,0
2016-09-24,63.93462,Essence,0
2016-09-25,63.99333,Essence,0
2016-09-26,63.87528,Essence,0
2016-09-27,63.1109,Essence,0
2016-09-28,63.84893,Essence,0
2016-09-29,63.98775,Essence,0
2016-09-30,64.0,Essence,0
2016-10-01,64.0,Essence,0
2016-10-02,63.9993,Essence,0
2016-10-03,63.97182,Essence,0
2016-10-04,63.99311,Essence,0
2016-10-05,64.0,Essence,0
2016-10-06,64.57713,Essence,0
2016-10-07,64.15459,Essence,0
2016-10-08,64.83147,Essence,0
2016-10-09,64.99873,Essence,0
2016-10-10,65.0,Essence,0
2016-10-11,65.0,Essence,0
2016-10-12,65.63364,Essence,0
2016-10-13,66.41441,Essence,0
2016-10-14,67.0,Essence,0
2016-10-15,66.99839,Essence,0
2016-10-16,67.46224,Essence,0
2016-10-17,68.70503,Essence,0
2016-10-18,70.16339,Essence,0
2016-10-19,71.0,Essence,0
2016-10-20,71.0,Essence,0
2016-10-21,71.07986,Essence,0
2016-10-22,71.96094,Essence,0
2016-10-23,71.4151,Essence,0
2016-10-24,71.9951,Essence,0
2016-10-25,72.0,Essence,0
2016-10-26,72.0,Essence,0
2016-10-27,72.0,Essence,0
2016-10-28,72.09582,Essence,0
2016-10-29,72.95771,Essence,0
2016-10-30,72.62911,Essence,0
2016-10-31,72.92817,Essence,0
2016-11-01,73.40629,Essence,0
2016-11-02,73.45406,Essence,0
2016-11-03,73.79351,Essence,0
2016-11-04,73.81897,Essence,0
2016-11-05,73.52439,Essence,0
2016-11-06,73.15532,Essence,0
2016-11-07,72.9847,Essence,0
2016-11-08,72.13142,Essence,0
2016-11-09,71.99355,Essence,0
2016-11-10,71.75778,Essence,0
2016-11-11,70.52875,Essence,0
2016-11-12,69.69598,Essence,0
2016-11-13,68.5474,Essence,0
2016-11-14,68.00455,Essence,0
2016-11-15,68.73591,Essence,0
2016-11-16,69.01935,Essence,0
2016-11-17,68.93825,Essence,0
2016-11-18,68.24958,Essence,0
2016-11-19,67.10104,Essence,0
2016-11-20,66.32874,Essence,0
2016-11-21,65.29069,Essence,0
2016-11-22,65.0,Essence,0
2016-11-23,64.97231,Essence,0
2016-11-24,63.85123,Essence,0
2016-11-25,63.25719,Essence,0
2016-11-26,64.0,Essence,0
2016-11-27,64.94583,Essence,0
2016-11-28,67.30846,Essence,0
2016-12-02,86.5,Breach,1
2016-12-03,40.00526,Breach,0
2016-12-04,44.63661,Breach,0
2016-12-05,52.41607,Breach,0
2016-12-06,55.52644,Breach,0
2016-12-07,57.80439,Breach,0
2016-12-08,59.93464,Breach,0
2016-12-09,62.13554,Breach,0
2016-12-10,64.86616,Breach,0
2016-12-11,65.70255,Breach,0
2016-12-12,67.29364,Breach,0
2016-12-13,69.00714,Breach,0
2016-12-14,71.19107,Breach,0
2016-12-15,71.39211,Breach,0
2016-12-16,71.575,Breach,0
2016-12-17,71.14125,Breach,0
2016-12-18,70.70909,Breach,0
2016-12-19,70.21667,Breach,0
2016-12-20,70.0,Breach,0
2016-12-21,70.17273,Breach,0
2016-12-22,70.74864,Breach,0
2016-12-23,70.05702,Breach,0
2016-12-24,70.32397,Breach,0
2016-12-25,70.50509,Breach,0
2016-12-26,70.98481,Breach,0
2016-12-27,70.62164,Breach,0
2016-12-28,70.44364,Breach,0
2016-12-29,70.30873,Breach,0
2016-12-30,70.0,Breach,0
2016-12-31,69.82934,Breach,0
2017-01-01,69.0,Breach,0
2017-01-02,69.0,Breach,0
2017-01-03,68.05982,Breach,0
2017-01-04,67.13696,Breach,0
2017-01-05,65.63273,Breach,0
2017-01-06,62.70909,Breach,0
2017-01-07,60.6,Breach,0
2017-01-08,56.79777,Breach,0
2017-01-09,52.59503,Breach,0
2017-01-10,53.50118,Breach,0
2017-01-11,59.66545,Breach,0
2017-01-12,57.28714,Breach,0
2017-01-13,54.89554,Breach,0
2017-01-14,53.85636,Breach,0
2017-01-15,52.05083,Breach,0
2017-01-16,51.74055,Breach,0
2017-01-17,50.98214,Breach,0
2017-01-18,50.0,Breach,0
2017-01-19,49.97127,Breach,0
2017-01-20,48.88891,Breach,0
2017-01-21,46.7391,Breach,0
2017-01-22,43.75,Breach,0
2017-01-23,42.65222,Breach,0
2017-01-24,42.01436,Breach,0
2017-01-25,42.03212,Breach,0
2017-01-26,43.13142,Breach,0
2017-01-27,46.99175,Breach,0
2017-01-28,48.62679,Breach,0
