Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-23,53.1993,54.325,50.63056,48.49132,47.95775
2016-09-24,54.325,50.63056,48.49132,47.95775,48.52394
2016-09-25,50.63056,48.49132,47.95775,48.52394,48.11724
2016-09-26,48.49132,47.95775,48.52394,48.11724,47.65352
2016-09-27,47.95775,48.52394,48.11724,47.65352,46.16154
2016-09-28,48.52394,48.11724,47.65352,46.16154,45.01189
2016-09-29,48.11724,47.65352,46.16154,45.01189,48.89404
2016-09-30,47.65352,46.16154,45.01189,48.89404,49.23944
2016-10-01,46.16154,45.01189,48.89404,49.23944,49.40175
2016-10-02,45.01189,48.89404,49.23944,49.40175,48.52448
2016-10-03,48.89404,49.23944,49.40175,48.52448,48.53007
2016-10-04,49.23944,49.40175,48.52448,48.53007,45.13239
2016-10-05,49.40175,48.52448,48.53007,45.13239,46.60909
2016-10-06,48.52448,48.53007,45.13239,46.60909,47.00629
2016-10-07,48.53007,45.13239,46.60909,47.00629,44.95944
2016-10-08,45.13239,46.60909,47.00629,44.95944,44.10769
2016-10-09,46.60909,47.00629,44.95944,44.10769,44.67413
2016-10-10,47.00629,44.95944,44.10769,44.67413,44.27483
2016-10-11,44.95944,44.10769,44.67413,44.27483,42.12063
2016-10-12,44.10769,44.67413,44.27483,42.12063,39.85245
2016-10-13,44.67413,44.27483,42.12063,39.85245,40.06364
2016-10-14,44.27483,42.12063,39.85245,40.06364,38.96469
2016-10-15,42.12063,39.85245,40.06364,38.96469,37.69861
2016-10-16,39.85245,40.06364,38.96469,37.69861,37.66923
2016-10-17,40.06364,38.96469,37.69861,37.66923,37.15944
2016-10-18,38.96469,37.69861,37.66923,37.15944,36.88462
2016-10-19,37.69861,37.66923,37.15944,36.88462,36.94021
2016-10-20,37.66923,37.15944,36.88462,36.94021,36.83733
2016-10-21,37.15944,36.88462,36.94021,36.83733,37.17063
2016-10-22,36.88462,36.94021,36.83733,37.17063,38.50839
2016-10-23,36.94021,36.83733,37.17063,38.50839,40.11329
2016-10-24,36.83733,37.17063,38.50839,40.11329,40.36993
2016-10-25,37.17063,38.50839,40.11329,40.36993,42.9872
2016-10-26,38.50839,40.11329,40.36993,42.9872,42.27402
2016-10-27,40.11329,40.36993,42.9872,42.27402,41.01923
2016-10-28,40.36993,42.9872,42.27402,41.01923,40.944
2016-10-29,42.9872,42.27402,41.01923,40.944,42.73431
2016-10-30,42.27402,41.01923,40.944,42.73431,43.72062
2016-10-31,41.01923,40.944,42.73431,43.72062,42.24634
2016-11-01,40.944,42.73431,43.72062,42.24634,40.59733
2016-11-02,42.73431,43.72062,42.24634,40.59733,40.11287
2016-11-03,43.72062,42.24634,40.59733,40.11287,39.81698
2016-11-04,42.24634,40.59733,40.11287,39.81698,39.21818
2016-11-05,40.59733,40.11287,39.81698,39.21818,40.0
2016-11-06,40.11287,39.81698,39.21818,40.0,40.0
2016-11-07,39.81698,39.21818,40.0,40.0,39.80198
2016-11-08,39.21818,40.0,40.0,39.80198,38.92471
2016-11-09,40.0,40.0,39.80198,38.92471,37.98113
2016-11-10,40.0,39.80198,38.92471,37.98113,36.93167
2016-11-11,39.80198,38.92471,37.98113,36.93167,36.31356
2016-11-12,38.92471,37.98113,36.93167,36.31356,35.06667
2016-11-13,37.98113,36.93167,36.31356,35.06667,34.65333
2016-11-14,36.93167,36.31356,35.06667,34.65333,33.53833
2016-11-15,36.31356,35.06667,34.65333,33.53833,33.05593
2016-11-16,35.06667,34.65333,33.53833,33.05593,32.97816
2016-11-17,34.65333,33.53833,33.05593,32.97816,32.93667
2016-11-18,33.53833,33.05593,32.97816,32.93667,32.80769
2016-11-19,33.05593,32.97816,32.93667,32.80769,32.78772
2016-11-20,32.97816,32.93667,32.80769,32.78772,32.50526
2016-11-21,32.93667,32.80769,32.78772,32.50526,29.69286
2016-11-22,32.80769,32.78772,32.50526,29.69286,29.54912
2016-11-23,32.78772,32.50526,29.69286,29.54912,30.08679
2016-11-24,32.50526,29.69286,29.54912,30.08679,21.46667
2016-11-25,29.69286,29.54912,30.08679,21.46667,14.52105
2016-11-26,29.54912,30.08679,21.46667,14.52105,16.30179
2016-11-27,30.08679,21.46667,14.52105,16.30179,20.41864
2016-11-28,21.46667,14.52105,16.30179,20.41864,20.47321
2016-12-03,14.52105,16.30179,20.41864,20.47321,24.18036
2016-12-04,16.30179,20.41864,20.47321,24.18036,28.77143
2016-12-05,20.41864,20.47321,24.18036,28.77143,29.52679
2016-12-06,20.47321,24.18036,28.77143,29.52679,29.97091
2016-12-07,24.18036,28.77143,29.52679,29.97091,30.38545
2016-12-08,28.77143,29.52679,29.97091,30.38545,32.43393
2016-12-09,29.52679,29.97091,30.38545,32.43393,34.83393
2016-12-10,29.97091,30.38545,32.43393,34.83393,38.08772
2016-12-11,30.38545,32.43393,34.83393,38.08772,39.26667
2016-12-12,32.43393,34.83393,38.08772,39.26667,39.76071
2016-12-13,34.83393,38.08772,39.26667,39.76071,39.02727
2016-12-14,38.08772,39.26667,39.76071,39.02727,39.6193
2016-12-15,39.26667,39.76071,39.02727,39.6193,42.52857
2016-12-16,39.76071,39.02727,39.6193,42.52857,43.64
2016-12-17,39.02727,39.6193,42.52857,43.64,43.15091
2016-12-18,39.6193,42.52857,43.64,43.15091,41.40636
2016-12-19,42.52857,43.64,43.15091,41.40636,43.57193
2016-12-20,43.64,43.15091,41.40636,43.57193,44.90364
2016-12-21,43.15091,41.40636,43.57193,44.90364,47.32778
2016-12-22,41.40636,43.57193,44.90364,47.32778,45.06
2016-12-23,43.57193,44.90364,47.32778,45.06,43.70909
2016-12-24,44.90364,47.32778,45.06,43.70909,45.29273
2016-12-25,47.32778,45.06,43.70909,45.29273,48.24545
2016-12-26,45.06,43.70909,45.29273,48.24545,47.98966
2016-12-27,43.70909,45.29273,48.24545,47.98966,45.45085
2016-12-28,45.29273,48.24545,47.98966,45.45085,45.05536
2016-12-29,48.24545,47.98966,45.45085,45.05536,48.35
2016-12-30,47.98966,45.45085,45.05536,48.35,48.09464
2016-12-31,45.45085,45.05536,48.35,48.09464,47.09818
2017-01-01,45.05536,48.35,48.09464,47.09818,45.63636
2017-01-02,48.35,48.09464,47.09818,45.63636,46.03818
2017-01-03,48.09464,47.09818,45.63636,46.03818,43.39273
2017-01-04,47.09818,45.63636,46.03818,43.39273,40.65179
2017-01-05,45.63636,46.03818,43.39273,40.65179,40.06909
2017-01-06,46.03818,43.39273,40.65179,40.06909,41.65273
2017-01-07,43.39273,40.65179,40.06909,41.65273,43.55357
2017-01-08,40.65179,40.06909,41.65273,43.55357,45.32054
2017-01-09,40.06909,41.65273,43.55357,45.32054,46.53091
2017-01-10,41.65273,43.55357,45.32054,46.53091,45.96111
2017-01-11,43.55357,45.32054,46.53091,45.96111,47.73455
2017-01-12,45.32054,46.53091,45.96111,47.73455,49.13214
2017-01-13,46.53091,45.96111,47.73455,49.13214,48.50526
2017-01-14,45.96111,47.73455,49.13214,48.50526,46.67727
2017-01-15,47.73455,49.13214,48.50526,46.67727,47.85364
2017-01-16,49.13214,48.50526,46.67727,47.85364,47.63148
2017-01-17,48.50526,46.67727,47.85364,47.63148,45.03774
2017-01-18,46.67727,47.85364,47.63148,45.03774,44.97593
2017-01-19,47.85364,47.63148,45.03774,44.97593,44.64727
2017-01-20,47.63148,45.03774,44.97593,44.64727,45.66481
2017-01-21,45.03774,44.97593,44.64727,45.66481,46.73091
2017-01-22,44.97593,44.64727,45.66481,46.73091,45.44386
2017-01-23,44.64727,45.66481,46.73091,45.44386,44.29643
2017-01-24,45.66481,46.73091,45.44386,44.29643,43.69286
2017-01-25,46.73091,45.44386,44.29643,43.69286,43.44643
2017-01-26,45.44386,44.29643,43.69286,43.44643,44.5
2017-01-27,44.29643,43.69286,43.44643,44.5,44.71964
2017-01-28,43.69286,43.44643,44.5,44.71964,44.24464
2017-01-29,43.44643,44.5,44.71964,44.24464,45.56607
2017-01-30,44.5,44.71964,44.24464,45.56607,46.42143
2017-01-31,44.71964,44.24464,45.56607,46.42143,47.93636
2017-02-01,44.24464,45.56607,46.42143,47.93636,48.65088
2017-02-02,45.56607,46.42143,47.93636,48.65088,48.56429
2017-02-03,46.42143,47.93636,48.65088,48.56429,47.12241
2017-02-04,47.93636,48.65088,48.56429,47.12241,47.57895
2017-02-05,48.65088,48.56429,47.12241,47.57895,49.37414
2017-02-06,48.56429,47.12241,47.57895,49.37414,49.61379
2017-02-07,47.12241,47.57895,49.37414,49.61379,49.9614
2017-02-08,47.57895,49.37414,49.61379,49.9614,49.82807
2017-02-09,49.37414,49.61379,49.9614,49.82807,50.01034
2017-02-10,49.61379,49.9614,49.82807,50.01034,52.51754
2017-02-11,49.9614,49.82807,50.01034,52.51754,52.59123
2017-02-12,49.82807,50.01034,52.51754,52.59123,52.35439
2017-02-13,50.01034,52.51754,52.59123,52.35439,52.18596
2017-02-14,52.51754,52.59123,52.35439,52.18596,54.75789
2017-02-15,52.59123,52.35439,52.18596,54.75789,56.11053
2017-02-16,52.35439,52.18596,54.75789,56.11053,58.81552
2017-02-17,52.18596,54.75789,56.11053,58.81552,62.25424
2017-02-18,54.75789,56.11053,58.81552,62.25424,62.88814
2017-02-19,56.11053,58.81552,62.25424,62.88814,62.91
2017-02-20,58.81552,62.25424,62.88814,62.91,61.12414
2017-02-21,62.25424,62.88814,62.91,61.12414,60.30169
2017-02-22,62.88814,62.91,61.12414,60.30169,57.10172
2017-02-23,62.91,61.12414,60.30169,57.10172,56.33333
2017-02-24,61.12414,60.30169,57.10172,56.33333,28.8
2017-02-25,60.30169,57.10172,56.33333,28.8,12.46379
2017-02-26,57.10172,56.33333,28.8,12.46379,14.9807
2017-02-27,56.33333,28.8,12.46379,14.9807,16.08947
2017-02-28,28.8,12.46379,14.9807,16.08947,17.59474
2017-03-04,12.46379,14.9807,16.08947,17.59474,18.80508
2017-03-05,14.9807,16.08947,17.59474,18.80508,19.42328
2017-03-06,16.08947,17.59474,18.80508,19.42328,21.07368
2017-03-07,17.59474,18.80508,19.42328,21.07368,21.94138
2017-03-08,18.80508,19.42328,21.07368,21.94138,22.44035
2017-03-09,19.42328,21.07368,21.94138,22.44035,21.84211
2017-03-10,21.07368,21.94138,22.44035,21.84211,22.32241
2017-03-11,21.94138,22.44035,21.84211,22.32241,23.25789
2017-03-12,22.44035,21.84211,22.32241,23.25789,24.44667
2017-03-13,21.84211,22.32241,23.25789,24.44667,24.89825
2017-03-14,22.32241,23.25789,24.44667,24.89825,24.7
2017-03-15,23.25789,24.44667,24.89825,24.7,24.74138
2017-03-16,24.44667,24.89825,24.7,24.74138,27.75593
2017-03-17,24.89825,24.7,24.74138,27.75593,27.45
2017-03-18,24.7,24.74138,27.75593,27.45,27.62167
2017-03-19,24.74138,27.75593,27.45,27.62167,30.29483
2017-03-20,27.75593,27.45,27.62167,30.29483,36.35
