Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-08,0.05326,0.05645,0.05727,0.05637,0.05674
2016-09-09,0.05645,0.05727,0.05637,0.05674,0.05916
2016-09-10,0.05727,0.05637,0.05674,0.05916,0.06224
2016-09-11,0.05637,0.05674,0.05916,0.06224,0.06247
2016-09-12,0.05674,0.05916,0.06224,0.06247,0.06199
2016-09-13,0.05916,0.06224,0.06247,0.06199,0.0605
2016-09-14,0.06224,0.06247,0.06199,0.0605,0.05955
2016-09-15,0.06247,0.06199,0.0605,0.05955,0.05852
2016-09-16,0.06199,0.0605,0.05955,0.05852,0.05896
2016-09-17,0.0605,0.05955,0.05852,0.05896,0.05827
2016-09-18,0.05955,0.05852,0.05896,0.05827,0.05882
2016-09-19,0.05852,0.05896,0.05827,0.05882,0.05856
2016-09-20,0.05896,0.05827,0.05882,0.05856,0.05767
2016-09-21,0.05827,0.05882,0.05856,0.05767,0.05852
2016-09-22,0.05882,0.05856,0.05767,0.05852,0.05863
2016-09-23,0.05856,0.05767,0.05852,0.05863,0.05753
2016-09-24,0.05767,0.05852,0.05863,0.05753,0.0586
2016-09-25,0.05852,0.05863,0.05753,0.0586,0.05858
2016-09-26,0.05863,0.05753,0.0586,0.05858,0.05844
2016-09-27,0.05753,0.0586,0.05858,0.05844,0.05727
2016-09-28,0.0586,0.05858,0.05844,0.05727,0.05711
2016-09-29,0.05858,0.05844,0.05727,0.05711,0.0584
2016-09-30,0.05844,0.05727,0.05711,0.0584,0.05851
2016-10-01,0.05727,0.05711,0.0584,0.05851,0.05803
2016-10-02,0.05711,0.0584,0.05851,0.05803,0.05815
2016-10-03,0.0584,0.05851,0.05803,0.05815,0.05803
2016-10-04,0.05851,0.05803,0.05815,0.05803,0.05784
2016-10-05,0.05803,0.05815,0.05803,0.05784,0.05716
2016-10-06,0.05815,0.05803,0.05784,0.05716,0.0573
2016-10-07,0.05803,0.05784,0.05716,0.0573,0.05749
2016-10-08,0.05784,0.05716,0.0573,0.05749,0.05716
2016-10-09,0.05716,0.0573,0.05749,0.05716,0.0581
2016-10-10,0.0573,0.05749,0.05716,0.0581,0.05817
2016-10-11,0.05749,0.05716,0.0581,0.05817,0.05825
2016-10-12,0.05716,0.0581,0.05817,0.05825,0.05753
2016-10-13,0.0581,0.05817,0.05825,0.05753,0.05773
2016-10-14,0.05817,0.05825,0.05753,0.05773,0.05771
2016-10-15,0.05825,0.05753,0.05773,0.05771,0.05839
2016-10-16,0.05753,0.05773,0.05771,0.05839,0.05878
2016-10-17,0.05773,0.05771,0.05839,0.05878,0.05886
2016-10-18,0.05771,0.05839,0.05878,0.05886,0.06018
2016-10-19,0.05839,0.05878,0.05886,0.06018,0.05897
2016-10-20,0.05878,0.05886,0.06018,0.05897,0.05965
2016-10-21,0.05886,0.06018,0.05897,0.05965,0.05907
2016-10-22,0.06018,0.05897,0.05965,0.05907,0.05803
2016-10-23,0.05897,0.05965,0.05907,0.05803,0.05798
2016-10-24,0.05965,0.05907,0.05803,0.05798,0.05683
2016-10-25,0.05907,0.05803,0.05798,0.05683,0.05636
