Date,LeagueDay,day_of_week,month,y_lag_1,y_lag_2,y_lag_3,y_lag_4,rolling_mean,rolling_min,rolling_max,general_rolling_mean,general_rolling_min,general_rolling_max,expanding_mean,expanding_max,expanding_min
2016-10-20,1.0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-21,2.0,4,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
2016-10-22,3.0,5,10,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
2016-10-23,4.0,6,10,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
2016-10-24,5.0,0,10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
2016-10-25,6.0,1,10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
2016-10-26,7.0,2,10,2.0,2.0,2.0,2.0,1.9998740000000002,1.99937,2.0,0.0,0.0,0.0,2.0,2.0,2.0
2016-10-27,8.0,3,10,2.0,2.0,2.0,2.0,1.999496,1.99811,2.0,1.973194,1.89004,2.0,2.0,2.0,2.0
2016-10-28,9.0,4,10,2.0,2.0,2.0,2.0,1.9943640000000002,1.97434,2.0,1.9671873333333332,1.89004,2.0,1.99993,2.0,1.99937
2016-10-29,10.0,5,10,1.99937,2.0,2.0,2.0,1.9739280000000001,1.89782,2.0,1.9671873333333332,1.89004,2.0,1.9997479999999999,2.0,1.99811
2016-10-30,11.0,6,10,1.99811,1.99937,2.0,2.0,1.951936,1.89004,1.99937,1.96382,1.89004,2.0,1.997438181818182,2.0,1.97434
2016-10-31,12.0,0,10,1.97434,1.99811,1.99937,2.0,1.931964,1.89004,1.99811,1.95534,1.8728,2.0,1.9891366666666668,2.0,1.89782
2016-11-01,13.0,1,11,1.89782,1.97434,1.99811,1.99937,1.920086,1.89004,1.97434,1.9460766666666667,1.86105,2.0,1.9815138461538462,2.0,1.89004
2016-11-02,14.0,2,11,1.89004,1.89782,1.97434,1.99811,1.907198,1.89004,1.93872,1.933712,1.81453,2.0,1.9756564285714284,2.0,1.89004
2016-11-03,15.0,3,11,1.89951,1.89004,1.89782,1.97434,1.9276339999999998,1.89004,2.0,1.9220553333333332,1.81453,2.0,1.973194,2.0,1.89004
