Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-10-20,2.0,2.0,2.0,2.0,2.0
2016-10-21,2.0,2.0,2.0,2.0,2.0
2016-10-22,2.0,2.0,2.0,2.0,2.0
2016-10-23,2.0,2.0,2.0,2.0,1.99937
2016-10-24,2.0,2.0,2.0,1.99937,1.99811
2016-10-25,2.0,2.0,1.99937,1.99811,1.97434
2016-10-26,2.0,1.99937,1.99811,1.97434,1.89782
2016-10-27,1.99937,1.99811,1.97434,1.89782,1.89004
2016-10-28,1.99811,1.97434,1.89782,1.89004,1.89951
2016-10-29,1.97434,1.89782,1.89004,1.89951,1.93872
2016-10-30,1.89782,1.89004,1.89951,1.93872,1.9099
2016-10-31,1.89004,1.89951,1.93872,1.9099,2.0
2016-11-01,1.89951,1.93872,1.9099,2.0,1.94949
2016-11-02,1.93872,1.9099,2.0,1.94949,1.8728
2016-11-03,1.9099,2.0,1.94949,1.8728,1.86105
2016-11-04,2.0,1.94949,1.8728,1.86105,1.81453
2016-11-05,1.94949,1.8728,1.86105,1.81453,1.82515
2016-11-06,1.8728,1.86105,1.81453,1.82515,1.86854
2016-11-07,1.86105,1.81453,1.82515,1.86854,1.9164
2016-11-08,1.81453,1.82515,1.86854,1.9164,1.91912
2016-11-09,1.82515,1.86854,1.9164,1.91912,1.97383
2016-11-10,1.86854,1.9164,1.91912,1.97383,1.9759
2016-11-11,1.9164,1.91912,1.97383,1.9759,1.92557
2016-11-12,1.91912,1.97383,1.9759,1.92557,1.89468
2016-11-13,1.97383,1.9759,1.92557,1.89468,1.80575
2016-11-14,1.9759,1.92557,1.89468,1.80575,1.87389
2016-11-15,1.92557,1.89468,1.80575,1.87389,1.80352
2016-11-16,1.89468,1.80575,1.87389,1.80352,1.7964
2016-11-17,1.80575,1.87389,1.80352,1.7964,1.80224
2016-11-18,1.87389,1.80352,1.7964,1.80224,1.8168
2016-11-19,1.80352,1.7964,1.80224,1.8168,1.82182
2016-11-20,1.7964,1.80224,1.8168,1.82182,1.85754
2016-11-21,1.80224,1.8168,1.82182,1.85754,1.8416
2016-11-22,1.8168,1.82182,1.85754,1.8416,1.87414
2016-11-23,1.82182,1.85754,1.8416,1.87414,1.93352
2016-11-24,1.85754,1.8416,1.87414,1.93352,10.0
2016-11-25,1.8416,1.87414,1.93352,10.0,4.31964
2016-11-26,1.87414,1.93352,10.0,4.31964,2.2
2016-11-27,1.93352,10.0,4.31964,2.2,2.0
2016-11-28,10.0,4.31964,2.2,2.0,2.0
2016-12-03,4.31964,2.2,2.0,2.0,2.0
2016-12-04,2.2,2.0,2.0,2.0,2.0
2016-12-05,2.0,2.0,2.0,2.0,1.99607
2016-12-06,2.0,2.0,2.0,1.99607,2.0
2016-12-07,2.0,2.0,1.99607,2.0,2.0
2016-12-08,2.0,1.99607,2.0,2.0,2.0
2016-12-09,1.99607,2.0,2.0,2.0,1.99696
2016-12-10,2.0,2.0,2.0,1.99696,2.0
2016-12-11,2.0,2.0,1.99696,2.0,2.0
2016-12-12,2.0,1.99696,2.0,2.0,2.0
2016-12-13,1.99696,2.0,2.0,2.0,2.0
2016-12-14,2.0,2.0,2.0,2.0,2.0
2016-12-15,2.0,2.0,2.0,2.0,2.0
2016-12-16,2.0,2.0,2.0,2.0,2.0
2016-12-17,2.0,2.0,2.0,2.0,2.0
2016-12-18,2.0,2.0,2.0,2.0,1.98754
2016-12-19,2.0,2.0,2.0,1.98754,1.76954
2016-12-20,2.0,2.0,1.98754,1.76954,1.92727
2016-12-21,2.0,1.98754,1.76954,1.92727,1.86148
2016-12-22,1.98754,1.76954,1.92727,1.86148,1.94514
2016-12-23,1.76954,1.92727,1.86148,1.94514,1.87673
2016-12-24,1.92727,1.86148,1.94514,1.87673,1.99509
2016-12-25,1.86148,1.94514,1.87673,1.99509,1.88761
2016-12-26,1.94514,1.87673,1.99509,1.88761,1.98756
2016-12-27,1.87673,1.99509,1.88761,1.98756,1.86175
2016-12-28,1.99509,1.88761,1.98756,1.86175,1.86348
2016-12-29,1.88761,1.98756,1.86175,1.86348,1.87893
2016-12-30,1.98756,1.86175,1.86348,1.87893,1.97643
2016-12-31,1.86175,1.86348,1.87893,1.97643,1.84218
2017-01-01,1.86348,1.87893,1.97643,1.84218,1.8
2017-01-02,1.87893,1.97643,1.84218,1.8,1.96582
2017-01-03,1.97643,1.84218,1.8,1.96582,1.99911
2017-01-04,1.84218,1.8,1.96582,1.99911,1.93836
2017-01-05,1.8,1.96582,1.99911,1.93836,1.93582
2017-01-06,1.96582,1.99911,1.93836,1.93582,1.98927
2017-01-07,1.99911,1.93836,1.93582,1.98927,2.02161
2017-01-08,1.93836,1.93582,1.98927,2.02161,2.93125
2017-01-09,1.93582,1.98927,2.02161,2.93125,3.0
2017-01-10,1.98927,2.02161,2.93125,3.0,2.99309
2017-01-11,2.02161,2.93125,3.0,2.99309,2.72862
2017-01-12,2.93125,3.0,2.99309,2.72862,2.5
2017-01-13,3.0,2.99309,2.72862,2.5,2.5
2017-01-14,2.99309,2.72862,2.5,2.5,2.49618
2017-01-15,2.72862,2.5,2.5,2.49618,2.48569
2017-01-16,2.5,2.5,2.49618,2.48569,2.5
2017-01-17,2.5,2.49618,2.48569,2.5,2.5
2017-01-18,2.49618,2.48569,2.5,2.5,2.5
2017-01-19,2.48569,2.5,2.5,2.5,2.5
2017-01-20,2.5,2.5,2.5,2.5,2.47949
2017-01-21,2.5,2.5,2.5,2.47949,2.41749
2017-01-22,2.5,2.5,2.47949,2.41749,2.43098
2017-01-23,2.5,2.47949,2.41749,2.43098,2.43429
2017-01-24,2.47949,2.41749,2.43098,2.43429,2.5
2017-01-25,2.41749,2.43098,2.43429,2.5,2.49857
2017-01-26,2.43098,2.43429,2.5,2.49857,2.49635
2017-01-27,2.43429,2.5,2.49857,2.49635,2.44768
2017-01-28,2.5,2.49857,2.49635,2.44768,2.41196
2017-01-29,2.49857,2.49635,2.44768,2.41196,2.09049
2017-01-30,2.49635,2.44768,2.41196,2.09049,2.0
2017-01-31,2.44768,2.41196,2.09049,2.0,2.00682
2017-02-01,2.41196,2.09049,2.0,2.00682,2.25425
2017-02-02,2.09049,2.0,2.00682,2.25425,2.24858
2017-02-03,2.0,2.00682,2.25425,2.24858,2.33366
2017-02-04,2.00682,2.25425,2.24858,2.33366,2.4986
2017-02-05,2.25425,2.24858,2.33366,2.4986,2.5
2017-02-06,2.24858,2.33366,2.4986,2.5,2.5
2017-02-07,2.33366,2.4986,2.5,2.5,2.49984
2017-02-08,2.4986,2.5,2.5,2.49984,2.5
2017-02-09,2.5,2.5,2.49984,2.5,2.5
2017-02-10,2.5,2.49984,2.5,2.5,2.5
2017-02-11,2.49984,2.5,2.5,2.5,2.5
2017-02-12,2.5,2.5,2.5,2.5,2.5
2017-02-13,2.5,2.5,2.5,2.5,2.5
2017-02-14,2.5,2.5,2.5,2.5,2.5
2017-02-15,2.5,2.5,2.5,2.5,2.5
2017-02-16,2.5,2.5,2.5,2.5,2.50034
2017-02-17,2.5,2.5,2.5,2.50034,2.43277
2017-02-18,2.5,2.5,2.50034,2.43277,2.50034
2017-02-19,2.5,2.50034,2.43277,2.50034,2.68803
2017-02-20,2.50034,2.43277,2.50034,2.68803,2.58055
2017-02-21,2.43277,2.50034,2.68803,2.58055,2.5059
2017-02-22,2.50034,2.68803,2.58055,2.5059,2.44078
2017-02-23,2.68803,2.58055,2.5059,2.44078,2.53
2017-02-24,2.58055,2.5059,2.44078,2.53,4.0
2017-02-25,2.5059,2.44078,2.53,4.0,3.48103
2017-02-26,2.44078,2.53,4.0,3.48103,3.0
2017-02-27,2.53,4.0,3.48103,3.0,2.99421
2017-02-28,4.0,3.48103,3.0,2.99421,2.9107
2017-03-04,3.48103,3.0,2.99421,2.9107,2.47175
2017-03-05,3.0,2.99421,2.9107,2.47175,2.3091
2017-03-06,2.99421,2.9107,2.47175,2.3091,2.00316
2017-03-07,2.9107,2.47175,2.3091,2.00316,2.09658
2017-03-08,2.47175,2.3091,2.00316,2.09658,2.25282
2017-03-09,2.3091,2.00316,2.09658,2.25282,2.30416
2017-03-10,2.00316,2.09658,2.25282,2.30416,2.22155
2017-03-11,2.09658,2.25282,2.30416,2.22155,2.23493
2017-03-12,2.25282,2.30416,2.22155,2.23493,2.41338
2017-03-13,2.30416,2.22155,2.23493,2.41338,2.40286
2017-03-14,2.22155,2.23493,2.41338,2.40286,2.46023
2017-03-15,2.23493,2.41338,2.40286,2.46023,2.47265
2017-03-16,2.41338,2.40286,2.46023,2.47265,2.40919
2017-03-17,2.40286,2.46023,2.47265,2.40919,2.314
2017-03-18,2.46023,2.47265,2.40919,2.314,2.40285
2017-03-19,2.47265,2.40919,2.314,2.40285,2.4007
2017-03-20,2.40919,2.314,2.40285,2.4007,2.48417
2017-03-21,2.314,2.40285,2.4007,2.48417,2.49741
2017-03-22,2.40285,2.4007,2.48417,2.49741,2.46536
2017-03-23,2.4007,2.48417,2.49741,2.46536,2.49952
2017-03-24,2.48417,2.49741,2.46536,2.49952,2.51007
2017-03-25,2.49741,2.46536,2.49952,2.51007,2.81681
2017-03-26,2.46536,2.49952,2.51007,2.81681,2.99793
2017-03-27,2.49952,2.51007,2.81681,2.99793,3.0
2017-03-28,2.51007,2.81681,2.99793,3.0,3.0
2017-03-29,2.81681,2.99793,3.0,3.0,3.0
2017-03-30,2.99793,3.0,3.0,3.0,3.0
2017-03-31,3.0,3.0,3.0,3.0,2.96445
2017-04-01,3.0,3.0,3.0,2.96445,2.90758
2017-04-02,3.0,3.0,2.96445,2.90758,2.90306
2017-04-03,3.0,2.96445,2.90758,2.90306,2.89504
2017-04-04,2.96445,2.90758,2.90306,2.89504,2.94781
2017-04-05,2.90758,2.90306,2.89504,2.94781,3.0
2017-04-06,2.90306,2.89504,2.94781,3.0,3.0
2017-04-07,2.89504,2.94781,3.0,3.0,3.0
2017-04-08,2.94781,3.0,3.0,3.0,3.0
2017-04-09,3.0,3.0,3.0,3.0,3.0
2017-04-10,3.0,3.0,3.0,3.0,3.0
2017-04-11,3.0,3.0,3.0,3.0,3.0
2017-04-12,3.0,3.0,3.0,3.0,3.0
2017-04-13,3.0,3.0,3.0,3.0,3.0
2017-04-14,3.0,3.0,3.0,3.0,3.0
2017-04-15,3.0,3.0,3.0,3.0,3.0
2017-04-16,3.0,3.0,3.0,3.0,3.0
2017-04-17,3.0,3.0,3.0,3.0,3.0
2017-04-18,3.0,3.0,3.0,3.0,3.00276
2017-04-19,3.0,3.0,3.0,3.00276,3.42746
2017-04-20,3.0,3.0,3.00276,3.42746,3.49525
2017-04-21,3.0,3.00276,3.42746,3.49525,3.5
2017-04-22,3.00276,3.42746,3.49525,3.5,3.50667
2017-04-23,3.42746,3.49525,3.5,3.50667,3.57917
2017-04-24,3.49525,3.5,3.50667,3.57917,3.73175
2017-04-25,3.5,3.50667,3.57917,3.73175,3.88101
2017-04-26,3.50667,3.57917,3.73175,3.88101,3.91636
2017-04-27,3.57917,3.73175,3.88101,3.91636,3.99681
2017-04-28,3.73175,3.88101,3.91636,3.99681,4.0
2017-04-29,3.88101,3.91636,3.99681,4.0,4.0
2017-04-30,3.91636,3.99681,4.0,4.0,4.0
2017-05-01,3.99681,4.0,4.0,4.0,4.0
2017-05-02,4.0,4.0,4.0,4.0,4.0
2017-05-03,4.0,4.0,4.0,4.0,4.09593
2017-05-04,4.0,4.0,4.0,4.09593,4.07057
2017-05-05,4.0,4.0,4.09593,4.07057,4.18627
2017-05-06,4.0,4.09593,4.07057,4.18627,4.76949
2017-05-07,4.09593,4.07057,4.18627,4.76949,4.81947
2017-05-08,4.07057,4.18627,4.76949,4.81947,4.54435
2017-05-09,4.18627,4.76949,4.81947,4.54435,4.49776
2017-05-10,4.76949,4.81947,4.54435,4.49776,4.76142
2017-05-11,4.81947,4.54435,4.49776,4.76142,4.91976
2017-05-12,4.54435,4.49776,4.76142,4.91976,4.61095
2017-05-13,4.49776,4.76142,4.91976,4.61095,4.63681
2017-05-14,4.76142,4.91976,4.61095,4.63681,4.5
2017-05-15,4.91976,4.61095,4.63681,4.5,4.5
2017-05-16,4.61095,4.63681,4.5,4.5,4.49017
