Date,LeagueDay,day_of_week,month,y_lag_1,y_lag_2,y_lag_3,y_lag_4,rolling_mean,rolling_min,rolling_max,general_rolling_mean,general_rolling_min,general_rolling_max,expanding_mean,expanding_max,expanding_min
2016-09-08,1.0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,2.0,4,9,1.23985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2028699999999999,1.23985,1.16589
2016-09-10,3.0,5,9,1.16589,1.23985,0.0,0.0,1.0881180000000001,1.0,1.23985,0.0,0.0,0.0,1.1468633333333333,1.23985,1.03485
2016-09-11,4.0,6,9,1.03485,1.16589,1.23985,0.0,1.040148,1.0,1.16589,0.0,0.0,0.0,1.1101475,1.23985,1.0
2016-09-12,5.0,0,9,1.0,1.03485,1.16589,1.23985,1.004362,0.98696,1.03485,0.0,0.0,0.0,1.0881180000000001,1.23985,1.0
2016-09-13,6.0,1,9,1.0,1.0,1.03485,1.16589,0.99602,0.98696,1.0,0.0,0.0,0.0,1.0734316666666668,1.23985,1.0
2016-09-14,7.0,2,9,1.0,1.0,1.0,1.03485,0.99602,0.98696,1.0,0.0,0.0,0.0,1.0610785714285715,1.23985,0.98696
2016-09-15,8.0,3,9,0.98696,1.0,1.0,1.0,0.9918359999999999,0.97908,1.0,0.9928733333333334,0.87557,1.23985,1.05258625,1.23985,0.98696
2016-09-16,9.0,4,9,0.99314,0.98696,1.0,1.0,0.9737159999999999,0.9094,1.0,0.9658526666666666,0.83454,1.16589,1.0467433333333334,1.23985,0.98696
2016-09-17,10.0,5,9,1.0,0.99314,0.98696,1.0,0.9563919999999999,0.90034,1.0,0.9440553333333334,0.83454,1.03485,1.039977,1.23985,0.97908
2016-09-18,11.0,6,9,0.97908,1.0,0.99314,0.98696,0.939686,0.90034,1.0,0.9306946666666666,0.83444,1.0,1.0281063636363637,1.23985,0.9094
2016-09-19,12.0,0,9,0.9094,0.97908,1.0,0.99314,0.9193680000000001,0.89841,0.97908,0.9218973333333333,0.83444,1.0,1.0174591666666666,1.23985,0.90034
2016-09-20,13.0,1,9,0.90034,0.9094,0.97908,1.0,0.8986660000000001,0.87557,0.90961,0.9121206666666667,0.83444,1.0,1.009163076923077,1.23985,0.90034
2016-09-21,14.0,2,9,0.90961,0.90034,0.9094,0.97908,0.883694,0.83454,0.90961,0.9027406666666666,0.83444,1.0,1.0012521428571428,1.23985,0.89841
2016-09-22,15.0,3,9,0.89841,0.90961,0.90034,0.9094,0.871412,0.83454,0.90961,0.8928586666666667,0.83444,1.0,0.9928733333333334,1.23985,0.87557
2016-09-23,16.0,4,9,0.87557,0.89841,0.90961,0.90034,0.856378,0.83444,0.89841,0.8822386666666666,0.83384,1.0,0.9829775,1.23985,0.83454
2016-09-24,17.0,5,9,0.83454,0.87557,0.89841,0.90961,0.8503039999999998,0.83444,0.87557,0.8711273333333334,0.83333,0.97908,0.9745041176470588,1.23985,0.83454
2016-09-25,18.0,6,9,0.83893,0.83454,0.87557,0.89841,0.8458600000000001,0.83444,0.86804,0.8616013333333333,0.83333,0.90961,0.9667227777777777,1.23985,0.83444
2016-09-26,19.0,0,9,0.83444,0.83893,0.83454,0.87557,0.850812,0.83444,0.86804,0.857406,0.83333,0.90961,0.9615289473684211,1.23985,0.83444
2016-09-27,20.0,1,9,0.86804,0.83444,0.83893,0.83454,0.8507719999999999,0.83444,0.86804,0.8531913333333333,0.83333,0.90961,0.95612,1.23985,0.83444
2016-09-28,21.0,2,9,0.85335,0.86804,0.83444,0.83893,0.850652,0.83384,0.86804,0.8492833333333333,0.83333,0.89841,0.9515095238095238,1.23985,0.83444
2016-09-29,22.0,3,9,0.8593,0.85335,0.86804,0.83444,0.84371,0.83333,0.8593,0.8449446666666666,0.83333,0.87557,0.9463831818181817,1.23985,0.83444
2016-09-30,23.0,4,9,0.83873,0.8593,0.85335,0.86804,0.840278,0.83333,0.8593,0.8421286666666666,0.83333,0.86804,0.94149,1.23985,0.83384
2016-10-01,24.0,5,10,0.83384,0.83873,0.8593,0.85335,0.837712,0.83333,0.84647,0.842048,0.83333,0.86804,0.9369833333333334,1.23985,0.83333
2016-10-02,25.0,6,10,0.83333,0.83384,0.83873,0.8593,0.8373899999999999,0.83333,0.84647,0.8416746666666666,0.83333,0.86804,0.9329516,1.23985,0.83333
