Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-08,1.16589,1.03485,1.0,1.0,1.0
2016-09-09,1.03485,1.0,1.0,1.0,0.98696
2016-09-10,1.0,1.0,1.0,0.98696,0.99314
2016-09-11,1.0,1.0,0.98696,0.99314,1.0
2016-09-12,1.0,0.98696,0.99314,1.0,0.97908
2016-09-13,0.98696,0.99314,1.0,0.97908,0.9094
2016-09-14,0.99314,1.0,0.97908,0.9094,0.90034
2016-09-15,1.0,0.97908,0.9094,0.90034,0.90961
2016-09-16,0.97908,0.9094,0.90034,0.90961,0.89841
2016-09-17,0.9094,0.90034,0.90961,0.89841,0.87557
2016-09-18,0.90034,0.90961,0.89841,0.87557,0.83454
2016-09-19,0.90961,0.89841,0.87557,0.83454,0.83893
2016-09-20,0.89841,0.87557,0.83454,0.83893,0.83444
2016-09-21,0.87557,0.83454,0.83893,0.83444,0.86804
2016-09-22,0.83454,0.83893,0.83444,0.86804,0.85335
2016-09-23,0.83893,0.83444,0.86804,0.85335,0.8593
2016-09-24,0.83444,0.86804,0.85335,0.8593,0.83873
2016-09-25,0.86804,0.85335,0.8593,0.83873,0.83384
2016-09-26,0.85335,0.8593,0.83873,0.83384,0.83333
2016-09-27,0.8593,0.83873,0.83384,0.83333,0.83619
2016-09-28,0.83873,0.83384,0.83333,0.83619,0.84647
2016-09-29,0.83384,0.83333,0.83619,0.84647,0.83712
2016-09-30,0.83333,0.83619,0.84647,0.83712,0.85099
2016-10-01,0.83619,0.84647,0.83712,0.85099,0.83333
2016-10-02,0.84647,0.83712,0.85099,0.83333,0.83333
2016-10-03,0.83712,0.85099,0.83333,0.83333,0.83333
2016-10-04,0.85099,0.83333,0.83333,0.83333,0.83333
2016-10-05,0.83333,0.83333,0.83333,0.83333,0.82
2016-10-06,0.83333,0.83333,0.83333,0.82,0.81785
2016-10-07,0.83333,0.83333,0.82,0.81785,0.8
2016-10-08,0.83333,0.82,0.81785,0.8,0.8
2016-10-09,0.82,0.81785,0.8,0.8,0.8
2016-10-10,0.81785,0.8,0.8,0.8,0.8
2016-10-11,0.8,0.8,0.8,0.8,0.84198
2016-10-12,0.8,0.8,0.8,0.84198,0.89043
2016-10-13,0.8,0.8,0.84198,0.89043,0.83819
2016-10-14,0.8,0.84198,0.89043,0.83819,0.88937
2016-10-15,0.84198,0.89043,0.83819,0.88937,0.87253
2016-10-16,0.89043,0.83819,0.88937,0.87253,0.83494
2016-10-17,0.83819,0.88937,0.87253,0.83494,0.83333
2016-10-18,0.88937,0.87253,0.83494,0.83333,0.84295
2016-10-19,0.87253,0.83494,0.83333,0.84295,0.86948
2016-10-20,0.83494,0.83333,0.84295,0.86948,0.83333
2016-10-21,0.83333,0.84295,0.86948,0.83333,0.8639
2016-10-22,0.84295,0.86948,0.83333,0.8639,0.84432
2016-10-23,0.86948,0.83333,0.8639,0.84432,0.92247
2016-10-24,0.83333,0.8639,0.84432,0.92247,0.87362
2016-10-25,0.8639,0.84432,0.92247,0.87362,0.83333
2016-10-26,0.84432,0.92247,0.87362,0.83333,0.83333
2016-10-27,0.92247,0.87362,0.83333,0.83333,0.83333
2016-10-28,0.87362,0.83333,0.83333,0.83333,0.83257
2016-10-29,0.83333,0.83333,0.83333,0.83257,0.83333
2016-10-30,0.83333,0.83333,0.83257,0.83333,0.86806
2016-10-31,0.83333,0.83257,0.83333,0.86806,0.83333
2016-11-01,0.83257,0.83333,0.86806,0.83333,0.83408
2016-11-02,0.83333,0.86806,0.83333,0.83408,0.83756
2016-11-03,0.86806,0.83333,0.83408,0.83756,0.86536
2016-11-04,0.83333,0.83408,0.83756,0.86536,0.98942
2016-11-05,0.83408,0.83756,0.86536,0.98942,1.0
2016-11-06,0.83756,0.86536,0.98942,1.0,1.0
2016-11-07,0.86536,0.98942,1.0,1.0,0.98783
2016-11-08,0.98942,1.0,1.0,0.98783,0.94639
2016-11-09,1.0,1.0,0.98783,0.94639,0.90909
2016-11-10,1.0,0.98783,0.94639,0.90909,0.91702
2016-11-11,0.98783,0.94639,0.90909,0.91702,0.91189
2016-11-12,0.94639,0.90909,0.91702,0.91189,0.90909
2016-11-13,0.90909,0.91702,0.91189,0.90909,0.90923
2016-11-14,0.91702,0.91189,0.90909,0.90923,0.97118
2016-11-15,0.91189,0.90909,0.90923,0.97118,1.0
2016-11-16,0.90909,0.90923,0.97118,1.0,0.98919
2016-11-17,0.90923,0.97118,1.0,0.98919,0.98148
2016-11-18,0.97118,1.0,0.98919,0.98148,0.9693
2016-11-19,1.0,0.98919,0.98148,0.9693,1.0
2016-11-20,0.98919,0.98148,0.9693,1.0,0.99557
2016-11-21,0.98148,0.9693,1.0,0.99557,0.99973
2016-11-22,0.9693,1.0,0.99557,0.99973,1.0
2016-11-23,1.0,0.99557,0.99973,1.0,1.00294
2016-11-24,0.99557,0.99973,1.0,1.00294,2.64286
2016-11-25,0.99973,1.0,1.00294,2.64286,1.5807
2016-11-26,1.0,1.00294,2.64286,1.5807,1.81518
2016-11-27,1.00294,2.64286,1.5807,1.81518,1.82429
2016-11-28,2.64286,1.5807,1.81518,1.82429,1.85624
2016-12-02,1.5807,1.81518,1.82429,1.85624,1.81497
2016-12-03,1.81518,1.82429,1.85624,1.81497,1.61164
2016-12-04,1.82429,1.85624,1.81497,1.61164,1.66336
2016-12-05,1.85624,1.81497,1.61164,1.66336,1.52747
2016-12-06,1.81497,1.61164,1.66336,1.52747,1.44368
2016-12-07,1.61164,1.66336,1.52747,1.44368,1.39273
