Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-12-03,0.96518,1.0,0.99887,1.0,1.0
2016-12-04,1.0,0.99887,1.0,1.0,1.0
2016-12-05,0.99887,1.0,1.0,1.0,1.0
2016-12-06,1.0,1.0,1.0,1.0,1.09245
2016-12-07,1.0,1.0,1.0,1.09245,1.465
2016-12-08,1.0,1.0,1.09245,1.465,1.5
2016-12-09,1.0,1.09245,1.465,1.5,1.5
2016-12-10,1.09245,1.465,1.5,1.5,1.5
2016-12-11,1.465,1.5,1.5,1.5,1.79963
2016-12-12,1.5,1.5,1.5,1.79963,1.77398
2016-12-13,1.5,1.5,1.79963,1.77398,1.99145
2016-12-14,1.5,1.79963,1.77398,1.99145,2.0
2016-12-15,1.79963,1.77398,1.99145,2.0,2.0
2016-12-16,1.77398,1.99145,2.0,2.0,1.99056
2016-12-17,1.99145,2.0,2.0,1.99056,1.50909
2016-12-18,2.0,2.0,1.99056,1.50909,1.5
2016-12-19,2.0,1.99056,1.50909,1.5,1.5
2016-12-20,1.99056,1.50909,1.5,1.5,1.5
2016-12-21,1.50909,1.5,1.5,1.5,1.69569
2016-12-22,1.5,1.5,1.5,1.69569,2.0
2016-12-23,1.5,1.5,1.69569,2.0,1.96413
2016-12-24,1.5,1.69569,2.0,1.96413,1.84219
2016-12-25,1.69569,2.0,1.96413,1.84219,1.77845
2016-12-26,2.0,1.96413,1.84219,1.77845,1.73465
2016-12-27,1.96413,1.84219,1.77845,1.73465,1.54726
2016-12-28,1.84219,1.77845,1.73465,1.54726,1.5
2016-12-29,1.77845,1.73465,1.54726,1.5,1.5
2016-12-30,1.73465,1.54726,1.5,1.5,1.5
2016-12-31,1.54726,1.5,1.5,1.5,1.5
2017-01-01,1.5,1.5,1.5,1.5,1.5
2017-01-02,1.5,1.5,1.5,1.5,1.5
2017-01-03,1.5,1.5,1.5,1.5,1.5
2017-01-04,1.5,1.5,1.5,1.5,1.5
2017-01-05,1.5,1.5,1.5,1.5,1.5
2017-01-06,1.5,1.5,1.5,1.5,1.5
2017-01-07,1.5,1.5,1.5,1.5,1.5
2017-01-08,1.5,1.5,1.5,1.5,1.5
2017-01-09,1.5,1.5,1.5,1.5,1.5
2017-01-10,1.5,1.5,1.5,1.5,1.5
2017-01-11,1.5,1.5,1.5,1.5,1.5
2017-01-12,1.5,1.5,1.5,1.5,1.5
2017-01-13,1.5,1.5,1.5,1.5,1.5
2017-01-14,1.5,1.5,1.5,1.5,1.5
2017-01-15,1.5,1.5,1.5,1.5,1.5
2017-01-16,1.5,1.5,1.5,1.5,1.5
2017-01-17,1.5,1.5,1.5,1.5,1.5
2017-01-18,1.5,1.5,1.5,1.5,1.5
2017-01-19,1.5,1.5,1.5,1.5,1.5
2017-01-20,1.5,1.5,1.5,1.5,1.5
2017-01-21,1.5,1.5,1.5,1.5,1.5
2017-01-22,1.5,1.5,1.5,1.5,1.5
2017-01-23,1.5,1.5,1.5,1.5,1.5
2017-01-24,1.5,1.5,1.5,1.5,1.5
2017-01-25,1.5,1.5,1.5,1.5,1.5
2017-01-26,1.5,1.5,1.5,1.5,1.5
2017-01-27,1.5,1.5,1.5,1.5,1.66952
2017-01-28,1.5,1.5,1.5,1.66952,1.92377
2017-01-29,1.5,1.5,1.66952,1.92377,2.0
2017-01-30,1.5,1.66952,1.92377,2.0,2.17274
2017-01-31,1.66952,1.92377,2.0,2.17274,2.2104
2017-02-01,1.92377,2.0,2.17274,2.2104,2.38066
2017-02-02,2.0,2.17274,2.2104,2.38066,2.40474
2017-02-03,2.17274,2.2104,2.38066,2.40474,2.49825
2017-02-04,2.2104,2.38066,2.40474,2.49825,2.5
2017-02-05,2.38066,2.40474,2.49825,2.5,2.5
2017-02-06,2.40474,2.49825,2.5,2.5,2.5
2017-02-07,2.49825,2.5,2.5,2.5,2.74771
2017-02-08,2.5,2.5,2.5,2.74771,2.99222
2017-02-09,2.5,2.5,2.74771,2.99222,2.94429
2017-02-10,2.5,2.74771,2.99222,2.94429,2.99715
2017-02-11,2.74771,2.99222,2.94429,2.99715,3.0
2017-02-12,2.99222,2.94429,2.99715,3.0,3.0
2017-02-13,2.94429,2.99715,3.0,3.0,3.0
2017-02-14,2.99715,3.0,3.0,3.0,2.99957
2017-02-15,3.0,3.0,3.0,2.99957,2.99974
2017-02-16,3.0,3.0,2.99957,2.99974,3.0
2017-02-17,3.0,2.99957,2.99974,3.0,2.92389
2017-02-18,2.99957,2.99974,3.0,2.92389,2.89694
2017-02-19,2.99974,3.0,2.92389,2.89694,2.81983
2017-02-20,3.0,2.92389,2.89694,2.81983,2.92488
2017-02-21,2.92389,2.89694,2.81983,2.92488,2.99302
2017-02-22,2.89694,2.81983,2.92488,2.99302,2.99776
2017-02-23,2.81983,2.92488,2.99302,2.99776,3.4
2017-02-24,2.92488,2.99302,2.99776,3.4,1.84419
2017-02-25,2.99302,2.99776,3.4,1.84419,0.96343
2017-02-26,2.99776,3.4,1.84419,0.96343,0.99568
2017-02-27,3.4,1.84419,0.96343,0.99568,1.0
2017-02-28,1.84419,0.96343,0.99568,1.0,1.0
2017-03-04,0.96343,0.99568,1.0,1.0,1.0
2017-03-05,0.99568,1.0,1.0,1.0,1.0
2017-03-06,1.0,1.0,1.0,1.0,1.0
2017-03-07,1.0,1.0,1.0,1.0,1.0
2017-03-08,1.0,1.0,1.0,1.0,1.0
2017-03-09,1.0,1.0,1.0,1.0,1.13795
2017-03-10,1.0,1.0,1.0,1.13795,1.40956
2017-03-11,1.0,1.0,1.13795,1.40956,1.45637
2017-03-12,1.0,1.13795,1.40956,1.45637,1.47939
2017-03-13,1.13795,1.40956,1.45637,1.47939,1.49902
2017-03-14,1.40956,1.45637,1.47939,1.49902,1.49577
2017-03-15,1.45637,1.47939,1.49902,1.49577,1.5
2017-03-16,1.47939,1.49902,1.49577,1.5,1.5
2017-03-17,1.49902,1.49577,1.5,1.5,1.5
2017-03-18,1.49577,1.5,1.5,1.5,1.5
2017-03-19,1.5,1.5,1.5,1.5,1.5
2017-03-20,1.5,1.5,1.5,1.5,1.5
2017-03-21,1.5,1.5,1.5,1.5,1.5
2017-03-22,1.5,1.5,1.5,1.5,1.51268
2017-03-23,1.5,1.5,1.5,1.51268,1.50049
2017-03-24,1.5,1.5,1.51268,1.50049,1.53181
2017-03-25,1.5,1.51268,1.50049,1.53181,1.75927
2017-03-26,1.51268,1.50049,1.53181,1.75927,1.79169
2017-03-27,1.50049,1.53181,1.75927,1.79169,1.89915
2017-03-28,1.53181,1.75927,1.79169,1.89915,1.91259
2017-03-29,1.75927,1.79169,1.89915,1.91259,2.0
2017-03-30,1.79169,1.89915,1.91259,2.0,2.0
2017-03-31,1.89915,1.91259,2.0,2.0,1.8855
2017-04-01,1.91259,2.0,2.0,1.8855,1.64229
2017-04-02,2.0,2.0,1.8855,1.64229,1.5
2017-04-03,2.0,1.8855,1.64229,1.5,1.62402
2017-04-04,1.8855,1.64229,1.5,1.62402,1.84176
2017-04-05,1.64229,1.5,1.62402,1.84176,1.77313
2017-04-06,1.5,1.62402,1.84176,1.77313,1.58309
2017-04-07,1.62402,1.84176,1.77313,1.58309,1.5
2017-04-08,1.84176,1.77313,1.58309,1.5,1.5
2017-04-09,1.77313,1.58309,1.5,1.5,1.5
2017-04-10,1.58309,1.5,1.5,1.5,1.5
2017-04-11,1.5,1.5,1.5,1.5,1.5
2017-04-12,1.5,1.5,1.5,1.5,1.5
2017-04-13,1.5,1.5,1.5,1.5,1.5
2017-04-14,1.5,1.5,1.5,1.5,1.5
2017-04-15,1.5,1.5,1.5,1.5,1.49348
2017-04-16,1.5,1.5,1.5,1.49348,1.43187
2017-04-17,1.5,1.5,1.49348,1.43187,1.46725
2017-04-18,1.5,1.49348,1.43187,1.46725,1.48226
2017-04-19,1.49348,1.43187,1.46725,1.48226,1.47892
2017-04-20,1.43187,1.46725,1.48226,1.47892,1.42031
2017-04-21,1.46725,1.48226,1.47892,1.42031,1.39723
2017-04-22,1.48226,1.47892,1.42031,1.39723,1.39811
2017-04-23,1.47892,1.42031,1.39723,1.39811,1.37459
2017-04-24,1.42031,1.39723,1.39811,1.37459,1.10043
2017-04-25,1.39723,1.39811,1.37459,1.10043,1.0
2017-04-26,1.39811,1.37459,1.10043,1.0,1.19296
2017-04-27,1.37459,1.10043,1.0,1.19296,1.40279
2017-04-28,1.10043,1.0,1.19296,1.40279,1.37339
2017-04-29,1.0,1.19296,1.40279,1.37339,1.30242
2017-04-30,1.19296,1.40279,1.37339,1.30242,1.024
2017-05-01,1.40279,1.37339,1.30242,1.024,1.04579
2017-05-02,1.37339,1.30242,1.024,1.04579,1.26226
