Date,LeagueDay,day_of_week,month,y_lag_1,y_lag_2,y_lag_3,y_lag_4,rolling_mean,rolling_min,rolling_max,general_rolling_mean,general_rolling_min,general_rolling_max,expanding_mean,expanding_max,expanding_min
2016-09-08,1.0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,2.0,4,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004955,1.00991,1.0
2016-09-10,3.0,5,9,1.00991,1.0,0.0,0.0,1.0738480000000001,1.0,1.21554,0.0,0.0,0.0,1.0098033333333334,1.0195,1.0
2016-09-11,4.0,6,9,1.0195,1.00991,1.0,0.0,1.144482,1.00991,1.35317,0.0,0.0,0.0,1.0384250000000002,1.12429,1.0
2016-09-12,5.0,0,9,1.12429,1.0195,1.00991,1.0,1.2140720000000003,1.0195,1.35786,0.0,0.0,0.0,1.0738480000000001,1.21554,1.0
2016-09-13,6.0,1,9,1.21554,1.12429,1.0195,1.00991,1.294578,1.12429,1.42203,0.0,0.0,0.0,1.1204016666666667,1.35317,1.0
2016-09-14,7.0,2,9,1.35317,1.21554,1.12429,1.0195,1.3673499999999998,1.21554,1.48815,0.0,0.0,0.0,1.1543242857142857,1.35786,1.0
2016-09-15,8.0,3,9,1.35786,1.35317,1.21554,1.12429,1.422274,1.35317,1.49016,1.3308446666666667,1.0,1.5,1.1877875,1.42203,1.0
2016-09-16,9.0,4,9,1.42203,1.35786,1.35317,1.21554,1.4516360000000001,1.35786,1.49998,1.3655326666666667,1.00991,1.52032,1.2211611111111111,1.48815,1.0
2016-09-17,10.0,5,9,1.48815,1.42203,1.35786,1.35317,1.476502,1.42203,1.49998,1.401387333333333,1.0195,1.54773,1.248061,1.49016,1.0
2016-09-18,11.0,6,9,1.49016,1.48815,1.42203,1.35786,1.4920740000000001,1.48219,1.49998,1.4334206666666667,1.12429,1.54773,1.2709627272727273,1.49998,1.0
2016-09-19,12.0,0,9,1.49998,1.49016,1.48815,1.42203,1.494444,1.48219,1.5,1.4582566666666668,1.21554,1.54773,1.288565,1.49998,1.0
2016-09-20,13.0,1,9,1.48219,1.49998,1.49016,1.48815,1.4964119999999999,1.48219,1.5,1.4746126666666666,1.35317,1.54773,1.3048207692307692,1.49998,1.0
2016-09-21,14.0,2,9,1.49989,1.48219,1.49998,1.49016,1.50048,1.48219,1.52032,1.4806886666666665,1.35786,1.54773,1.3187621428571428,1.5,1.0
2016-09-22,15.0,3,9,1.5,1.49989,1.48219,1.49998,1.513588,1.49989,1.54773,1.4864320000000002,1.42203,1.54773,1.3308446666666667,1.5,1.0
2016-09-23,16.0,4,9,1.5,1.5,1.49989,1.48219,1.51361,1.5,1.54773,1.487926,1.44401,1.54773,1.342686875,1.52032,1.0
2016-09-24,17.0,5,9,1.52032,1.5,1.5,1.49989,1.512976,1.49683,1.54773,1.4850120000000002,1.44401,1.54773,1.3547482352941176,1.54773,1.0
2016-09-25,18.0,6,9,1.54773,1.52032,1.5,1.5,1.505152,1.46088,1.54773,1.4825673333333333,1.44401,1.54773,1.3628177777777777,1.54773,1.0
2016-09-26,19.0,0,9,1.5,1.54773,1.52032,1.5,1.4899499999999999,1.44431,1.54773,1.4788666666666666,1.44401,1.54773,1.369871052631579,1.54773,1.0
2016-09-27,20.0,1,9,1.49683,1.5,1.54773,1.52032,1.4692060000000002,1.44401,1.5,1.4758306666666667,1.43665,1.54773,1.3744215,1.54773,1.0
2016-09-28,21.0,2,9,1.46088,1.49683,1.5,1.54773,1.4580940000000002,1.44401,1.49683,1.4721393333333335,1.43665,1.54773,1.3777495238095239,1.54773,1.0
2016-09-29,22.0,3,9,1.44431,1.46088,1.49683,1.5,1.4476159999999998,1.44401,1.46088,1.4676333333333333,1.43241,1.54773,1.3807613636363636,1.54773,1.0
2016-09-30,23.0,4,9,1.44401,1.44431,1.46088,1.49683,1.446138,1.44401,1.45349,1.4609666666666667,1.4,1.54773,1.3835300000000001,1.54773,1.0
