Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-09-08,1.00991,1.0195,1.12429,1.21554,1.35317
2016-09-09,1.0195,1.12429,1.21554,1.35317,1.35786
2016-09-10,1.12429,1.21554,1.35317,1.35786,1.42203
2016-09-11,1.21554,1.35317,1.35786,1.42203,1.48815
2016-09-12,1.35317,1.35786,1.42203,1.48815,1.49016
2016-09-13,1.35786,1.42203,1.48815,1.49016,1.49998
2016-09-14,1.42203,1.48815,1.49016,1.49998,1.48219
2016-09-15,1.48815,1.49016,1.49998,1.48219,1.49989
2016-09-16,1.49016,1.49998,1.48219,1.49989,1.5
2016-09-17,1.49998,1.48219,1.49989,1.5,1.5
2016-09-18,1.48219,1.49989,1.5,1.5,1.52032
2016-09-19,1.49989,1.5,1.5,1.52032,1.54773
2016-09-20,1.5,1.5,1.52032,1.54773,1.5
2016-09-21,1.5,1.52032,1.54773,1.5,1.49683
2016-09-22,1.52032,1.54773,1.5,1.49683,1.46088
2016-09-23,1.54773,1.5,1.49683,1.46088,1.44431
2016-09-24,1.5,1.49683,1.46088,1.44431,1.44401
2016-09-25,1.49683,1.46088,1.44431,1.44401,1.44444
2016-09-26,1.46088,1.44431,1.44401,1.44444,1.44444
2016-09-27,1.44431,1.44401,1.44444,1.44444,1.45349
2016-09-28,1.44401,1.44444,1.44444,1.45349,1.44447
2016-09-29,1.44444,1.44444,1.45349,1.44447,1.43665
2016-09-30,1.44444,1.45349,1.44447,1.43665,1.44452
2016-10-01,1.45349,1.44447,1.43665,1.44452,1.43241
2016-10-02,1.44447,1.43665,1.44452,1.43241,1.4
2016-10-03,1.43665,1.44452,1.43241,1.4,1.4
2016-10-04,1.44452,1.43241,1.4,1.4,1.4
2016-10-05,1.43241,1.4,1.4,1.4,1.4
2016-10-06,1.4,1.4,1.4,1.4,1.39952
2016-10-07,1.4,1.4,1.4,1.39952,1.4
2016-10-08,1.4,1.4,1.39952,1.4,1.4
2016-10-09,1.4,1.39952,1.4,1.4,1.39944
2016-10-10,1.39952,1.4,1.4,1.39944,1.38624
2016-10-11,1.4,1.4,1.39944,1.38624,1.39971
2016-10-12,1.4,1.39944,1.38624,1.39971,1.38335
