Date,LeagueDay,day_of_week,month,y_lag_1,y_lag_2,y_lag_3,y_lag_4,rolling_mean,rolling_min,rolling_max,general_rolling_mean,general_rolling_min,general_rolling_max,expanding_mean,expanding_max,expanding_min
2016-12-03,1.0,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-04,2.0,6,12,14.02143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72168,14.02143,9.42193
2016-12-05,3.0,0,12,9.42193,14.02143,0.0,0.0,9.267784,7.47232,14.02143,0.0,0.0,0.0,10.416833333333335,14.02143,7.80714
2016-12-06,4.0,1,12,7.80714,9.42193,14.02143,0.0,7.863498,7.0,9.42193,0.0,0.0,0.0,9.71665,14.02143,7.6161
2016-12-07,5.0,2,12,7.6161,7.80714,9.42193,14.02143,7.42304,7.0,7.80714,0.0,0.0,0.0,9.267784,14.02143,7.47232
2016-12-08,6.0,3,12,7.47232,7.6161,7.80714,9.42193,7.276434,7.0,7.6161,0.0,0.0,0.0,8.88982,14.02143,7.0
2016-12-09,7.0,4,12,7.0,7.47232,7.6161,7.80714,7.207942,7.0,7.47232,0.0,0.0,0.0,8.651222857142857,14.02143,7.0
2016-12-10,8.0,5,12,7.21964,7.0,7.47232,7.6161,7.123842000000001,7.0,7.27364,8.431331333333334,7.0,14.02143,8.45408375,14.02143,7.0
2016-12-11,9.0,6,12,7.07411,7.21964,7.0,7.47232,7.2167,7.05182,7.46429,8.16463,7.0,10.02091,8.322923333333334,14.02143,7.0
2016-12-12,10.0,0,12,7.27364,7.07411,7.21964,7.0,7.462414000000001,7.05182,8.44821,8.256934,7.0,10.80649,8.195813,14.02143,7.0
2016-12-13,11.0,1,12,7.05182,7.27364,7.07411,7.21964,7.837768,7.05182,8.95088,8.500350666666666,7.0,11.45839,8.12931090909091,14.02143,7.0
2016-12-14,12.0,2,12,7.46429,7.05182,7.27364,7.07411,8.314874,7.05182,9.65917,8.708974000000001,7.0,11.45839,8.155885833333334,14.02143,7.0
2016-12-15,13.0,3,12,8.44821,7.46429,7.05182,7.27364,8.902368,7.46429,9.98929,8.877486000000001,7.0,11.45839,8.217039230769231,14.02143,7.0
2016-12-16,14.0,4,12,8.95088,8.44821,7.46429,7.05182,9.413692000000001,8.44821,10.02091,9.074698000000001,7.05182,11.45839,8.320048571428572,14.02143,7.0
2016-12-17,15.0,5,12,9.65917,8.95088,8.44821,7.46429,9.885348,8.95088,10.80649,9.250932666666667,7.05182,11.45839,8.431331333333334,14.02143,7.0
2016-12-18,16.0,6,12,9.98929,9.65917,8.95088,8.44821,10.38685,9.65917,11.45839,9.445992,7.05182,11.45839,8.53068,14.02143,7.0
2016-12-19,17.0,0,12,10.02091,9.98929,9.65917,8.95088,10.604106,9.98929,11.45839,9.627749333333334,7.05182,11.45839,8.664551176470589,14.02143,7.0
2016-12-20,18.0,1,12,10.80649,10.02091,9.98929,9.65917,10.606248,10.0,11.45839,9.823737333333332,7.46429,11.45839,8.819764444444445,14.02143,7.0
2016-12-21,19.0,2,12,11.45839,10.80649,10.02091,9.98929,10.593702,9.95818,11.45839,9.992784666666667,8.44821,11.45839,8.921116315789474,14.02143,7.0
2016-12-22,20.0,3,12,10.74545,11.45839,10.80649,10.02091,10.405035999999999,9.86316,11.45839,10.092122,8.95088,11.45839,8.975060500000001,14.02143,7.0
2016-12-23,21.0,4,12,10.0,10.74545,11.45839,10.80649,10.113358,9.86316,10.74545,10.155663333333335,9.65917,11.45839,9.021875714285715,14.02143,7.0
2016-12-24,22.0,5,12,9.95818,10.0,10.74545,11.45839,9.964268,9.86316,10.0,10.139155333333333,9.41155,11.45839,9.060115909090909,14.02143,7.0
2016-12-25,23.0,6,12,9.86316,9.95818,10.0,10.74545,9.962596,9.86316,10.0,10.073202666666669,9.0,11.45839,9.10098043478261,14.02143,7.0
2016-12-26,24.0,0,12,10.0,9.86316,9.95818,10.0,9.97096,9.86316,10.0,10.003951333333333,8.98214,11.45839,9.138439583333334,14.02143,7.0
2016-12-27,25.0,1,12,10.0,10.0,9.86316,9.95818,9.985982,9.93827,10.0,9.879494666666666,8.93964,11.45839,9.1725676,14.02143,7.0
2016-12-28,26.0,2,12,9.99164,10.0,10.0,9.86316,9.966782,9.904,10.0,9.651455333333333,8.0378,10.74545,9.204391923076923,14.02143,7.0
2016-12-29,27.0,3,12,10.0,9.99164,10.0,10.0,9.849092,9.41155,10.0,9.461152666666665,7.89091,10.0,9.231572592592594,14.02143,7.0
2016-12-30,28.0,4,12,9.93827,10.0,9.99164,10.0,9.650764,9.0,10.0,9.29748,7.54491,10.0,9.255587857142856,14.02143,7.0
2016-12-31,29.0,5,12,9.904,9.93827,10.0,9.99164,9.447192000000001,8.98214,9.93827,9.100268,7.0,10.0,9.260965862068966,14.02143,7.0
2017-01-01,30.0,6,1,9.41155,9.904,9.93827,10.0,9.247466,8.93964,9.904,8.910602666666668,7.0,10.0,9.252267,14.02143,7.0
2017-01-02,31.0,0,1,9.0,9.41155,9.904,9.93827,8.874226000000002,8.0378,9.41155,8.711507333333333,7.0,10.0,9.243553225806453,14.02143,7.0
2017-01-03,32.0,1,1,8.98214,9.0,9.41155,9.904,8.570098,7.89091,9.0,8.511507333333332,7.0,10.0,9.2340559375,14.02143,7.0
2017-01-04,33.0,2,1,8.93964,8.98214,9.0,9.41155,8.279079999999999,7.54491,8.98214,8.312064666666666,7.0,10.0,9.19780575757576,14.02143,7.0
2017-01-05,34.0,3,1,8.0378,8.93964,8.98214,9.0,7.882651999999998,7.0,8.93964,8.112064666666667,7.0,9.93827,9.159367647058824,14.02143,7.0
2017-01-06,35.0,4,1,7.89091,8.0378,8.93964,8.98214,7.49836,7.0,8.0378,7.915489333333334,6.98964,9.904,9.113240285714285,14.02143,7.0
2017-01-07,36.0,5,1,7.54491,7.89091,8.0378,8.93964,7.293514,7.0,7.89091,7.721889333333333,6.98964,9.41155,9.054539166666666,14.02143,7.0
2017-01-08,37.0,6,1,7.0,7.54491,7.89091,8.0378,7.115332,7.0,7.54491,7.551168666666667,6.85074,9.0,8.999502432432433,14.02143,7.0
2017-01-09,38.0,0,1,7.01818,7.0,7.54491,7.89091,7.00635,7.0,7.01818,7.351168666666667,6.0,8.98214,8.947241052631579,14.02143,7.0
2017-01-10,39.0,1,1,7.01357,7.01818,7.0,7.54491,7.00635,7.0,7.01818,7.152359333333334,6.0,8.93964,8.897311794871795,14.02143,7.0
2017-01-11,40.0,2,1,7.0,7.01357,7.01818,7.0,7.000641999999999,6.98964,7.01357,6.956383333333334,6.0,8.0378,8.849879,14.02143,7.0
2017-01-12,41.0,3,1,7.0,7.0,7.01357,7.01818,6.997928,6.98964,7.0,6.820530000000001,6.0,7.89091,8.80476,14.02143,7.0
2017-01-13,42.0,4,1,7.0,7.0,7.0,7.01357,6.968076000000001,6.85074,7.0,6.694469333333333,6.0,7.54491,8.761542857142857,14.02143,6.98964
2017-01-14,43.0,5,1,6.98964,7.0,7.0,7.0,6.768076000000001,6.0,7.0,6.591475333333333,6.0,7.01818,8.720576744186047,14.02143,6.98964
2017-01-15,44.0,6,1,7.0,6.98964,7.0,7.0,6.5680760000000005,6.0,7.0,6.524808666666667,6.0,7.01818,8.678080454545453,14.02143,6.85074
2017-01-16,45.0,0,1,6.85074,7.0,6.98964,7.0,6.3701479999999995,6.0,7.0,6.456930000000001,6.0,7.01357,8.618567555555556,14.02143,6.0
2017-01-17,46.0,1,1,6.0,6.85074,7.0,6.98964,6.170147999999999,6.0,6.85074,6.389358666666667,6.0,7.0,8.561642173913043,14.02143,6.0
2017-01-18,47.0,2,1,6.0,6.0,6.85074,7.0,6.0,6.0,6.0,6.315593333333334,5.89352,7.0,8.50713914893617,14.02143,6.0
2017-01-19,48.0,3,1,6.0,6.0,6.0,6.85074,6.0,6.0,6.0,6.207078,5.37227,7.0,8.454907083333334,14.02143,6.0
2017-01-20,49.0,4,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0893,5.23333,7.0,8.40480693877551,14.02143,6.0
2017-01-21,50.0,5,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.019693333333334,5.23333,7.0,8.3567108,14.02143,6.0
2017-01-22,51.0,6,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.953026666666667,5.23333,6.85074,8.310500784313724,14.02143,6.0
2017-01-23,52.0,0,1,6.0,6.0,6.0,6.0,5.9787040000000005,5.89352,6.0,5.940060666666667,5.23333,6.65625,8.266068076923077,14.02143,6.0
2017-01-24,53.0,1,1,6.0,6.0,6.0,6.0,5.8531580000000005,5.37227,6.0,5.940060666666667,5.23333,6.65625,8.223312075471698,14.02143,6.0
2017-01-25,54.0,2,1,6.0,6.0,6.0,6.0,5.6998240000000004,5.23333,6.0,5.961310666666666,5.23333,6.65625,8.180167777777777,14.02143,5.89352
2017-01-26,55.0,3,1,5.89352,6.0,6.0,6.0,5.688931999999999,5.23333,6.0,5.99018,5.23333,6.65625,8.12911509090909,14.02143,5.37227
2017-01-27,56.0,4,1,5.37227,5.89352,6.0,6.0,5.688931999999999,5.23333,6.0,6.045049333333333,5.23333,6.82304,8.077404642857143,14.02143,5.23333
