Date,y_step_1,y_step_2,y_step_3,y_step_4,y_step_5
2016-12-03,9.42193,7.80714,7.6161,7.47232,7.0
2016-12-04,7.80714,7.6161,7.47232,7.0,7.21964
2016-12-05,7.6161,7.47232,7.0,7.21964,7.07411
2016-12-06,7.47232,7.0,7.21964,7.07411,7.27364
2016-12-07,7.0,7.21964,7.07411,7.27364,7.05182
2016-12-08,7.21964,7.07411,7.27364,7.05182,7.46429
2016-12-09,7.07411,7.27364,7.05182,7.46429,8.44821
2016-12-10,7.27364,7.05182,7.46429,8.44821,8.95088
2016-12-11,7.05182,7.46429,8.44821,8.95088,9.65917
2016-12-12,7.46429,8.44821,8.95088,9.65917,9.98929
2016-12-13,8.44821,8.95088,9.65917,9.98929,10.02091
2016-12-14,8.95088,9.65917,9.98929,10.02091,10.80649
2016-12-15,9.65917,9.98929,10.02091,10.80649,11.45839
2016-12-16,9.98929,10.02091,10.80649,11.45839,10.74545
2016-12-17,10.02091,10.80649,11.45839,10.74545,10.0
2016-12-18,10.80649,11.45839,10.74545,10.0,9.95818
2016-12-19,11.45839,10.74545,10.0,9.95818,9.86316
2016-12-20,10.74545,10.0,9.95818,9.86316,10.0
2016-12-21,10.0,9.95818,9.86316,10.0,10.0
2016-12-22,9.95818,9.86316,10.0,10.0,9.99164
2016-12-23,9.86316,10.0,10.0,9.99164,10.0
2016-12-24,10.0,10.0,9.99164,10.0,9.93827
2016-12-25,10.0,9.99164,10.0,9.93827,9.904
2016-12-26,9.99164,10.0,9.93827,9.904,9.41155
2016-12-27,10.0,9.93827,9.904,9.41155,9.0
2016-12-28,9.93827,9.904,9.41155,9.0,8.98214
2016-12-29,9.904,9.41155,9.0,8.98214,8.93964
2016-12-30,9.41155,9.0,8.98214,8.93964,8.0378
2016-12-31,9.0,8.98214,8.93964,8.0378,7.89091
2017-01-01,8.98214,8.93964,8.0378,7.89091,7.54491
2017-01-02,8.93964,8.0378,7.89091,7.54491,7.0
2017-01-03,8.0378,7.89091,7.54491,7.0,7.01818
2017-01-04,7.89091,7.54491,7.0,7.01818,7.01357
2017-01-05,7.54491,7.0,7.01818,7.01357,7.0
2017-01-06,7.0,7.01818,7.01357,7.0,7.0
2017-01-07,7.01818,7.01357,7.0,7.0,7.0
2017-01-08,7.01357,7.0,7.0,7.0,6.98964
2017-01-09,7.0,7.0,7.0,6.98964,7.0
2017-01-10,7.0,7.0,6.98964,7.0,6.85074
2017-01-11,7.0,6.98964,7.0,6.85074,6.0
2017-01-12,6.98964,7.0,6.85074,6.0,6.0
2017-01-13,7.0,6.85074,6.0,6.0,6.0
2017-01-14,6.85074,6.0,6.0,6.0,6.0
2017-01-15,6.0,6.0,6.0,6.0,6.0
2017-01-16,6.0,6.0,6.0,6.0,6.0
2017-01-17,6.0,6.0,6.0,6.0,6.0
2017-01-18,6.0,6.0,6.0,6.0,6.0
2017-01-19,6.0,6.0,6.0,6.0,6.0
2017-01-20,6.0,6.0,6.0,6.0,5.89352
2017-01-21,6.0,6.0,6.0,5.89352,5.37227
2017-01-22,6.0,6.0,5.89352,5.37227,5.23333
2017-01-23,6.0,5.89352,5.37227,5.23333,5.94554
2017-01-24,5.89352,5.37227,5.23333,5.94554,6.0
2017-01-25,5.37227,5.23333,5.94554,6.0,6.65625
2017-01-26,5.23333,5.94554,6.0,6.65625,6.0
2017-01-27,5.94554,6.0,6.65625,6.0,6.31875
2017-01-28,6.0,6.65625,6.0,6.31875,6.43304
2017-01-29,6.65625,6.0,6.31875,6.43304,6.82304
2017-01-30,6.0,6.31875,6.43304,6.82304,7.0
2017-01-31,6.31875,6.43304,6.82304,7.0,7.21818
2017-02-01,6.43304,6.82304,7.0,7.21818,8.0
2017-02-02,6.82304,7.0,7.21818,8.0,7.99179
2017-02-03,7.0,7.21818,8.0,7.99179,7.74483
2017-02-04,7.21818,8.0,7.99179,7.74483,8.0
2017-02-05,8.0,7.99179,7.74483,8.0,8.0
2017-02-06,7.99179,7.74483,8.0,8.0,7.67155
2017-02-07,7.74483,8.0,8.0,7.67155,7.33421
2017-02-08,8.0,8.0,7.67155,7.33421,7.09883
2017-02-09,8.0,7.67155,7.33421,7.09883,7.93759
2017-02-10,7.67155,7.33421,7.09883,7.93759,7.53439
2017-02-11,7.33421,7.09883,7.93759,7.53439,7.0
2017-02-12,7.09883,7.93759,7.53439,7.0,7.05368
2017-02-13,7.93759,7.53439,7.0,7.05368,7.72684
2017-02-14,7.53439,7.0,7.05368,7.72684,7.34386
2017-02-15,7.0,7.05368,7.72684,7.34386,7.99649
2017-02-16,7.05368,7.72684,7.34386,7.99649,8.0
2017-02-17,7.72684,7.34386,7.99649,8.0,8.01017
2017-02-18,7.34386,7.99649,8.0,8.01017,8.10169
2017-02-19,7.99649,8.0,8.01017,8.10169,7.14167
2017-02-20,8.0,8.01017,8.10169,7.14167,7.28966
2017-02-21,8.01017,8.10169,7.14167,7.28966,8.10169
2017-02-22,8.10169,7.14167,7.28966,8.10169,8.00517
2017-02-23,7.14167,7.28966,8.10169,8.00517,7.33333
2017-02-24,7.28966,8.10169,8.00517,7.33333,10.0
2017-02-25,8.10169,8.00517,7.33333,10.0,21.47083
2017-02-26,8.00517,7.33333,10.0,21.47083,21.31176
2017-02-27,7.33333,10.0,21.47083,21.31176,17.77018
2017-02-28,10.0,21.47083,21.31176,17.77018,18.79123
2017-03-04,21.47083,21.31176,17.77018,18.79123,17.19492
2017-03-05,21.31176,17.77018,18.79123,17.19492,16.07241
2017-03-06,17.77018,18.79123,17.19492,16.07241,15.8193
2017-03-07,18.79123,17.19492,16.07241,15.8193,16.63707
2017-03-08,17.19492,16.07241,15.8193,16.63707,16.04211
2017-03-09,16.07241,15.8193,16.63707,16.04211,17.13509
2017-03-10,15.8193,16.63707,16.04211,17.13509,16.93362
2017-03-11,16.63707,16.04211,17.13509,16.93362,17.20965
2017-03-12,16.04211,17.13509,16.93362,17.20965,16.8075
2017-03-13,17.13509,16.93362,17.20965,16.8075,16.55614
2017-03-14,16.93362,17.20965,16.8075,16.55614,15.18475
2017-03-15,17.20965,16.8075,16.55614,15.18475,14.77414
2017-03-16,16.8075,16.55614,15.18475,14.77414,14.69051
2017-03-17,16.55614,15.18475,14.77414,14.69051,15.0
2017-03-18,15.18475,14.77414,14.69051,15.0,15.0
2017-03-19,14.77414,14.69051,15.0,15.0,15.0931
2017-03-20,14.69051,15.0,15.0,15.0931,15.71898
2017-03-21,15.0,15.0,15.0931,15.71898,16.22948
2017-03-22,15.0,15.0931,15.71898,16.22948,16.175
2017-03-23,15.0931,15.71898,16.22948,16.175,15.09655
2017-03-24,15.71898,16.22948,16.175,15.09655,14.75
2017-03-25,16.22948,16.175,15.09655,14.75,14.79414
2017-03-26,16.175,15.09655,14.75,14.79414,15.0
2017-03-27,15.09655,14.75,14.79414,15.0,15.0
2017-03-28,14.75,14.79414,15.0,15.0,14.34943
2017-03-29,14.79414,15.0,15.0,14.34943,14.0
2017-03-30,15.0,15.0,14.34943,14.0,14.00431
2017-03-31,15.0,14.34943,14.0,14.00431,13.25862
2017-04-01,14.34943,14.0,14.00431,13.25862,12.98276
2017-04-02,14.0,14.00431,13.25862,12.98276,12.14138
2017-04-03,14.00431,13.25862,12.98276,12.14138,13.13448
2017-04-04,13.25862,12.98276,12.14138,13.13448,13.77053
2017-04-05,12.98276,12.14138,13.13448,13.77053,12.96983
2017-04-06,12.14138,13.13448,13.77053,12.96983,12.12983
2017-04-07,13.13448,13.77053,12.96983,12.12983,11.98305
2017-04-08,13.77053,12.96983,12.12983,11.98305,11.86833
2017-04-09,12.96983,12.12983,11.98305,11.86833,11.58793
2017-04-10,12.12983,11.98305,11.86833,11.58793,10.89828
2017-04-11,11.98305,11.86833,11.58793,10.89828,11.60862
2017-04-12,11.86833,11.58793,10.89828,11.60862,12.34023
2017-04-13,11.58793,10.89828,11.60862,12.34023,12.19492
2017-04-14,10.89828,11.60862,12.34023,12.19492,12.08644
2017-04-15,11.60862,12.34023,12.19492,12.08644,11.9069
2017-04-16,12.34023,12.19492,12.08644,11.9069,12.01864
2017-04-17,12.19492,12.08644,11.9069,12.01864,12.28281
2017-04-18,12.08644,11.9069,12.01864,12.28281,12.82241
2017-04-19,11.9069,12.01864,12.28281,12.82241,12.54492
2017-04-20,12.01864,12.28281,12.82241,12.54492,11.96339
2017-04-21,12.28281,12.82241,12.54492,11.96339,11.99931
2017-04-22,12.82241,12.54492,11.96339,11.99931,10.97797
2017-04-23,12.54492,11.96339,11.99931,10.97797,11.54576
2017-04-24,11.96339,11.99931,10.97797,11.54576,11.96897
2017-04-25,11.99931,10.97797,11.54576,11.96897,12.31738
2017-04-26,10.97797,11.54576,11.96897,12.31738,12.29379
2017-04-27,11.54576,11.96897,12.31738,12.29379,11.98305
2017-04-28,11.96897,12.31738,12.29379,11.98305,11.98361
2017-04-29,12.31738,12.29379,11.98305,11.98361,11.80897
2017-04-30,12.29379,11.98305,11.98361,11.80897,11.62396
2017-05-01,11.98305,11.98361,11.80897,11.62396,10.25661
2017-05-02,11.98361,11.80897,11.62396,10.25661,10.46949
2017-05-03,11.80897,11.62396,10.25661,10.46949,10.91153
2017-05-04,11.62396,10.25661,10.46949,10.91153,10.64138
2017-05-05,10.25661,10.46949,10.91153,10.64138,10.69661
2017-05-06,10.46949,10.91153,10.64138,10.69661,10.51897
2017-05-07,10.91153,10.64138,10.69661,10.51897,11.02983
2017-05-08,10.64138,10.69661,10.51897,11.02983,10.55254
2017-05-09,10.69661,10.51897,11.02983,10.55254,10.8669
2017-05-10,10.51897,11.02983,10.55254,10.8669,10.24576
2017-05-11,11.02983,10.55254,10.8669,10.24576,10.44407
2017-05-12,10.55254,10.8669,10.24576,10.44407,10.84712
2017-05-13,10.8669,10.24576,10.44407,10.84712,10.98103
2017-05-14,10.24576,10.44407,10.84712,10.98103,10.07667
2017-05-15,10.44407,10.84712,10.98103,10.07667,10.00339
2017-05-16,10.84712,10.98103,10.07667,10.00339,11.19655
2017-05-17,10.98103,10.07667,10.00339,11.19655,10.8339
2017-05-18,10.07667,10.00339,11.19655,10.8339,10.68712
2017-05-19,10.00339,11.19655,10.8339,10.68712,9.47085
2017-05-20,11.19655,10.8339,10.68712,9.47085,9.89661
2017-05-21,10.8339,10.68712,9.47085,9.89661,10.88448
2017-05-22,10.68712,9.47085,9.89661,10.88448,9.87797
2017-05-23,9.47085,9.89661,10.88448,9.87797,9.87712
2017-05-24,9.89661,10.88448,9.87797,9.87712,9.74407
2017-05-25,10.88448,9.87797,9.87712,9.74407,9.99153
2017-05-26,9.87797,9.87712,9.74407,9.99153,10.18793
2017-05-27,9.87712,9.74407,9.99153,10.18793,10.32203
2017-05-28,9.74407,9.99153,10.18793,10.32203,11.17627
2017-05-29,9.99153,10.18793,10.32203,11.17627,10.21017
2017-05-30,10.18793,10.32203,11.17627,10.21017,10.03276
2017-05-31,10.32203,11.17627,10.21017,10.03276,9.83016
2017-06-01,11.17627,10.21017,10.03276,9.83016,10.08103
2017-06-02,10.21017,10.03276,9.83016,10.08103,9.6339
2017-06-03,10.03276,9.83016,10.08103,9.6339,9.96949
2017-06-04,9.83016,10.08103,9.6339,9.96949,10.03559
2017-06-05,10.08103,9.6339,9.96949,10.03559,10.42604
